Time,CameraA Max
20221215_162630,166
20221215_162630,159
20221215_162630,165
20221215_162630,199
20221215_162630,139
20221215_162630,133
20221215_162630,156
20221215_162630,190
20221215_162630,140
20221215_162630,168
20221215_162630,175
20221215_162630,175
20221215_162630,160
20221215_162630,144
20221215_162631,169
20221215_162631,164
20221215_162631,179
20221215_162631,143
20221215_162631,130
20221215_162631,120
20221215_162631,169
20221215_162631,160
20221215_162631,153
20221215_162631,163
20221215_162631,132
20221215_162631,201
20221215_162631,149
20221215_162631,143
20221215_162631,117
20221215_162631,141
20221215_162631,143
20221215_162631,163
20221215_162632,148
20221215_162632,141
20221215_162632,120
20221215_162632,127
20221215_162632,163
20221215_162632,153
20221215_162632,158
20221215_162632,133
20221215_162632,134
20221215_162632,185
20221215_162632,170
20221215_162632,184
20221215_162632,137
20221215_162632,160
20221215_162632,146
20221215_162632,154
20221215_162632,159
20221215_162632,139
20221215_162633,139
20221215_162633,145
20221215_162633,168
20221215_162633,158
20221215_162633,176
20221215_162633,184
20221215_162633,169
20221215_162633,157
20221215_162633,159
20221215_162633,196
20221215_162633,192
20221215_162633,175
20221215_162633,194
20221215_162633,172
20221215_162633,170
20221215_162633,164
20221215_162633,171
20221215_162634,155
20221215_162634,172
20221215_162634,193
20221215_162634,179
20221215_162634,178
20221215_162634,159
20221215_162634,122
20221215_162634,163
20221215_162634,146
20221215_162634,154
20221215_162634,185
20221215_162634,190
20221215_162634,157
20221215_162634,136
20221215_162634,116
20221215_162634,181
20221215_162634,185
20221215_162634,159
20221215_162635,160
20221215_162635,171
20221215_162635,124
20221215_162635,118
20221215_162635,144
20221215_162635,135
20221215_162635,163
20221215_162635,105
20221215_162635,135
20221215_162635,176
20221215_162635,152
20221215_162635,177
20221215_162635,143
20221215_162635,159
20221215_162635,158
20221215_162635,127
20221215_162635,171
20221215_162635,181
20221215_162636,157
20221215_162636,169
20221215_162636,178
20221215_162636,150
20221215_162636,164
20221215_162636,157
20221215_162636,168
20221215_162636,190
20221215_162636,195
20221215_162636,153
20221215_162636,145
20221215_162636,139
20221215_162636,169
20221215_162636,153
20221215_162636,153
20221215_162636,135
20221215_162636,208
20221215_162637,137
20221215_162637,154
20221215_162637,179
20221215_162637,115
20221215_162637,144
20221215_162637,160
20221215_162637,174
20221215_162637,184
20221215_162637,140
20221215_162637,184
20221215_162637,184
20221215_162637,165
20221215_162637,123
20221215_162637,190
20221215_162637,108
20221215_162637,159
20221215_162637,140
20221215_162637,148
20221215_162638,153
20221215_162638,135
20221215_162638,166
20221215_162638,165
20221215_162638,119
20221215_162638,110
20221215_162638,138
20221215_162638,189
20221215_162638,130
20221215_162638,133
20221215_162638,179
20221215_162638,149
20221215_162638,154
20221215_162638,146
20221215_162638,146
20221215_162638,169
20221215_162638,170
20221215_162638,148
20221215_162639,191
20221215_162639,151
20221215_162639,139
20221215_162639,129
20221215_162639,170
20221215_162639,169
20221215_162639,185
20221215_162639,148
20221215_162639,133
20221215_162639,131
20221215_162639,135
20221215_162639,180
20221215_162639,143
20221215_162639,150
20221215_162639,164
20221215_162639,181
20221215_162639,192
20221215_162639,141
20221215_162640,170
20221215_162640,186
20221215_162640,138
20221215_162640,143
20221215_162640,137
20221215_162640,143
20221215_162640,133
20221215_162640,127
20221215_162640,119
20221215_162640,177
20221215_162640,150
20221215_162640,170
20221215_162640,161
20221215_162640,171
20221215_162640,173
20221215_162640,139
20221215_162640,150
20221215_162641,134
20221215_162641,180
20221215_162641,151
20221215_162641,198
20221215_162641,158
20221215_162641,143
20221215_162641,181
20221215_162641,173
20221215_162641,179
20221215_162641,150
20221215_162641,134
20221215_162641,154
20221215_162641,195
20221215_162641,153
20221215_162641,158
20221215_162641,170
20221215_162641,183
20221215_162641,175
20221215_162642,130
20221215_162642,141
20221215_162642,156
20221215_162642,177
20221215_162642,156
20221215_162642,183
20221215_162642,133
20221215_162642,152
20221215_162642,164
20221215_162642,172
20221215_162642,189
20221215_162642,168
20221215_162642,165
20221215_162642,138
20221215_162642,149
20221215_162642,91
20221215_162642,141
20221215_162642,188
20221215_162643,145
20221215_162643,171
20221215_162643,189
20221215_162643,157
20221215_162643,129
20221215_162643,131
20221215_162643,158
20221215_162643,139
20221215_162643,161
