Time,CameraA Max,,,
20221221_141050,644,,,664.8662207
20221221_141050,646,,,16.34307612
20221221_141050,656,,,0.024580999
20221221_141050,652,,,
20221221_141050,665,,,
20221221_141050,641,,,
20221221_141050,634,,,
20221221_141050,667,,,
20221221_141050,644,,,
20221221_141051,662,,,
20221221_141051,646,,,
20221221_141051,636,,,
20221221_141051,671,,,
20221221_141051,679,,,
20221221_141051,678,,,
20221221_141051,655,,,
20221221_141051,640,,,
20221221_141051,635,,,
20221221_141051,667,,,
20221221_141051,673,,,
20221221_141051,649,,,
20221221_141051,658,,,
20221221_141051,673,,,
20221221_141051,655,,,
20221221_141051,654,,,
20221221_141051,648,,,
20221221_141051,653,,,
20221221_141052,655,,,
20221221_141052,656,,,
20221221_141052,655,,,
20221221_141052,651,,,
20221221_141052,652,,,
20221221_141052,674,,,
20221221_141052,654,,,
20221221_141052,656,,,
20221221_141052,714,,,
20221221_141052,669,,,
20221221_141052,671,,,
20221221_141052,663,,,
20221221_141052,677,,,
20221221_141052,662,,,
20221221_141052,644,,,
20221221_141052,656,,,
20221221_141052,641,,,
20221221_141053,647,,,
20221221_141053,671,,,
20221221_141053,652,,,
20221221_141053,660,,,
20221221_141053,647,,,
20221221_141053,686,,,
20221221_141053,669,,,
20221221_141053,682,,,
20221221_141053,651,,,
20221221_141053,642,,,
20221221_141053,694,,,
20221221_141053,664,,,
20221221_141053,647,,,
20221221_141053,659,,,
20221221_141053,646,,,
20221221_141053,648,,,
20221221_141053,662,,,
20221221_141053,669,,,
20221221_141054,649,,,
20221221_141054,663,,,
20221221_141054,649,,,
20221221_141054,642,,,
20221221_141054,693,,,
20221221_141054,644,,,
20221221_141054,657,,,
20221221_141054,637,,,
20221221_141054,644,,,
20221221_141054,669,,,
20221221_141054,664,,,
20221221_141054,688,,,
20221221_141054,647,,,
20221221_141054,669,,,
20221221_141054,653,,,
20221221_141054,673,,,
20221221_141054,648,,,
20221221_141054,633,,,
20221221_141055,643,,,
20221221_141055,664,,,
20221221_141055,652,,,
20221221_141055,667,,,
20221221_141055,676,,,
20221221_141055,687,,,
20221221_141055,627,,,
20221221_141055,671,,,
20221221_141055,653,,,
20221221_141055,668,,,
20221221_141055,676,,,
20221221_141055,684,,,
20221221_141055,651,,,
20221221_141055,634,,,
20221221_141055,645,,,
20221221_141055,625,,,
20221221_141055,662,,,
20221221_141055,647,,,
20221221_141056,666,,,
20221221_141056,668,,,
20221221_141056,669,,,
20221221_141056,674,,,
20221221_141056,659,,,
20221221_141056,660,,,
20221221_141056,654,,,
20221221_141056,634,,,
20221221_141056,658,,,
20221221_141056,652,,,
20221221_141056,676,,,
20221221_141056,660,,,
20221221_141056,679,,,
20221221_141056,661,,,
20221221_141056,685,,,
20221221_141056,668,,,
20221221_141056,649,,,
20221221_141057,654,,,
20221221_141057,652,,,
20221221_141057,659,,,
20221221_141057,687,,,
20221221_141057,651,,,
20221221_141057,647,,,
20221221_141057,664,,,
20221221_141057,673,,,
20221221_141057,672,,,
20221221_141057,658,,,
20221221_141057,664,,,
20221221_141057,689,,,
20221221_141057,677,,,
20221221_141057,666,,,
20221221_141057,665,,,
20221221_141057,654,,,
20221221_141057,678,,,
20221221_141057,665,,,
20221221_141058,664,,,
20221221_141058,666,,,
20221221_141058,658,,,
20221221_141058,643,,,
20221221_141058,641,,,
20221221_141058,679,,,
20221221_141058,682,,,
20221221_141058,666,,,
20221221_141058,676,,,
20221221_141058,671,,,
20221221_141058,662,,,
20221221_141058,653,,,
20221221_141058,699,,,
20221221_141058,652,,,
20221221_141058,672,,,
20221221_141058,637,,,
20221221_141058,651,,,
20221221_141058,652,,,
20221221_141059,681,,,
20221221_141059,681,,,
20221221_141059,639,,,
20221221_141059,653,,,
20221221_141059,642,,,
20221221_141059,678,,,
20221221_141059,655,,,
20221221_141059,674,,,
20221221_141059,639,,,
20221221_141059,652,,,
20221221_141059,655,,,
20221221_141059,648,,,
20221221_141059,653,,,
20221221_141059,648,,,
20221221_141059,667,,,
20221221_141059,667,,,
20221221_141059,640,,,
20221221_141059,632,,,
20221221_141100,654,,,
20221221_141100,671,,,
20221221_141100,660,,,
20221221_141100,668,,,
20221221_141100,700,,,
20221221_141100,693,,,
20221221_141100,667,,,
20221221_141100,668,,,
20221221_141100,671,,,
20221221_141100,658,,,
20221221_141100,658,,,
20221221_141100,660,,,
20221221_141100,702,,,
20221221_141100,685,,,
20221221_141100,666,,,
20221221_141100,666,,,
20221221_141100,656,,,
20221221_141101,700,,,
20221221_141101,691,,,
20221221_141101,680,,,
20221221_141101,671,,,
20221221_141101,657,,,
20221221_141101,689,,,
20221221_141101,673,,,
20221221_141101,679,,,
20221221_141101,666,,,
20221221_141101,663,,,
20221221_141101,655,,,
20221221_141101,678,,,
20221221_141101,654,,,
20221221_141101,640,,,
20221221_141101,656,,,
20221221_141101,665,,,
20221221_141101,684,,,
20221221_141101,669,,,
20221221_141102,669,,,
20221221_141102,661,,,
20221221_141102,680,,,
20221221_141102,672,,,
20221221_141102,693,,,
20221221_141102,693,,,
20221221_141102,680,,,
20221221_141102,678,,,
20221221_141102,657,,,
20221221_141102,661,,,
20221221_141102,668,,,
20221221_141102,665,,,
20221221_141102,681,,,
20221221_141102,661,,,
20221221_141102,693,,,
20221221_141102,663,,,
20221221_141102,671,,,
20221221_141102,662,,,
20221221_141103,657,,,
20221221_141103,692,,,
20221221_141103,691,,,
20221221_141103,667,,,
20221221_141103,692,,,
20221221_141103,662,,,
20221221_141103,667,,,
20221221_141103,654,,,
20221221_141103,676,,,
20221221_141103,658,,,
20221221_141103,659,,,
20221221_141103,688,,,
20221221_141103,663,,,
20221221_141103,676,,,
20221221_141103,678,,,
20221221_141103,665,,,
20221221_141103,656,,,
20221221_141103,661,,,
20221221_141104,646,,,
20221221_141104,667,,,
20221221_141104,689,,,
20221221_141104,701,,,
20221221_141104,668,,,
20221221_141104,708,,,
20221221_141104,669,,,
20221221_141104,679,,,
20221221_141104,658,,,
20221221_141104,645,,,
20221221_141104,667,,,
20221221_141104,671,,,
20221221_141104,676,,,
20221221_141104,675,,,
20221221_141104,674,,,
20221221_141104,654,,,
20221221_141104,668,,,
20221221_141104,677,,,
20221221_141105,657,,,
20221221_141105,709,,,
20221221_141105,675,,,
20221221_141105,657,,,
20221221_141105,684,,,
20221221_141105,660,,,
20221221_141105,712,,,
20221221_141105,679,,,
20221221_141105,673,,,
20221221_141105,705,,,
20221221_141105,674,,,
20221221_141105,686,,,
20221221_141105,673,,,
20221221_141105,657,,,
20221221_141105,680,,,
20221221_141105,669,,,
20221221_141105,673,,,
20221221_141106,676,,,
20221221_141106,658,,,
20221221_141106,685,,,
20221221_141106,657,,,
20221221_141106,665,,,
20221221_141106,671,,,
20221221_141106,661,,,
20221221_141106,679,,,
20221221_141106,655,,,
20221221_141106,645,,,
20221221_141106,698,,,
20221221_141106,672,,,
20221221_141106,684,,,
20221221_141106,671,,,
20221221_141106,652,,,
20221221_141106,666,,,
20221221_141106,661,,,
20221221_141106,656,,,
20221221_141107,647,,,
20221221_141107,652,,,
20221221_141107,682,,,
20221221_141107,692,,,
20221221_141107,700,,,
20221221_141107,696,,,
20221221_141107,681,,,
20221221_141107,699,,,
20221221_141107,648,,,
20221221_141107,695,,,
20221221_141107,653,,,
20221221_141107,681,,,
20221221_141107,685,,,
20221221_141107,672,,,
20221221_141107,680,,,
20221221_141107,687,,,
20221221_141107,677,,,
20221221_141107,686,,,
20221221_141108,694,,,
20221221_141108,704,,,
20221221_141108,678,,,
20221221_141108,702,,,
20221221_141108,677,,,
20221221_141108,668,,,
20221221_141108,659,,,
20221221_141108,674,,,
20221221_141108,694,,,
20221221_141108,663,,,
20221221_141108,679,,,
20221221_141108,692,,,
20221221_141108,668,,,
20221221_141108,688,,,
20221221_141108,695,,,
20221221_141108,671,,,
20221221_141108,657,,,
20221221_141108,660,,,
20221221_141109,656,,,
20221221_141109,688,,,
20221221_141109,666,,,
20221221_141109,683,,,
20221221_141109,669,,,
20221221_141109,687,,,
20221221_141109,701,,,
20221221_141109,696,,,
20221221_141109,676,,,
20221221_141109,682,,,
20221221_141109,688,,,
20221221_141109,658,,,
20221221_141109,672,,,
20221221_141109,676,,,
20221221_141109,677,,,
20221221_141109,677,,,
20221221_141109,656,,,
20221221_141110,684,,,
20221221_141110,668,,,
20221221_141110,715,,,
20221221_141110,679,,,
20221221_141110,682,,,
20221221_141110,693,,,
