Time,CameraA Max
20221221_140458,179
20221221_140458,178
20221221_140458,173
20221221_140458,176
20221221_140458,175
20221221_140458,172
20221221_140458,168
20221221_140458,184
20221221_140458,179
20221221_140458,187
20221221_140458,190
20221221_140458,173
20221221_140459,175
20221221_140459,189
20221221_140459,177
20221221_140459,180
20221221_140459,175
20221221_140459,187
20221221_140459,181
20221221_140459,173
20221221_140459,178
20221221_140459,177
20221221_140459,176
20221221_140459,169
20221221_140459,186
20221221_140459,181
20221221_140459,185
20221221_140459,183
20221221_140459,180
20221221_140459,186
20221221_140500,181
20221221_140500,186
20221221_140500,172
20221221_140500,175
20221221_140500,170
20221221_140500,171
20221221_140500,174
20221221_140500,174
20221221_140500,167
20221221_140500,174
20221221_140500,189
20221221_140500,188
20221221_140500,167
20221221_140500,165
20221221_140500,181
20221221_140500,164
20221221_140500,175
20221221_140501,179
20221221_140501,195
20221221_140501,169
20221221_140501,193
20221221_140501,175
20221221_140501,171
20221221_140501,186
20221221_140501,189
20221221_140501,174
20221221_140501,190
20221221_140501,180
20221221_140501,186
20221221_140501,156
20221221_140501,187
20221221_140501,177
20221221_140501,178
20221221_140501,170
20221221_140501,177
20221221_140502,180
20221221_140502,169
20221221_140502,186
20221221_140502,183
20221221_140502,191
20221221_140502,185
20221221_140502,171
20221221_140502,188
20221221_140502,187
20221221_140502,175
20221221_140502,172
20221221_140502,186
20221221_140502,181
20221221_140502,173
20221221_140502,175
20221221_140502,187
20221221_140502,181
20221221_140502,180
20221221_140503,183
20221221_140503,172
20221221_140503,167
20221221_140503,175
20221221_140503,177
20221221_140503,176
20221221_140503,164
20221221_140503,175
20221221_140503,170
20221221_140503,175
20221221_140503,176
20221221_140503,171
20221221_140503,179
20221221_140503,172
20221221_140503,183
20221221_140503,173
20221221_140503,178
20221221_140503,179
20221221_140504,181
20221221_140504,169
20221221_140504,188
20221221_140504,185
20221221_140504,185
20221221_140504,184
20221221_140504,167
20221221_140504,175
20221221_140504,184
20221221_140504,181
20221221_140504,176
20221221_140504,174
20221221_140504,181
20221221_140504,171
20221221_140504,181
20221221_140504,179
20221221_140504,173
20221221_140504,167
20221221_140505,168
20221221_140505,178
20221221_140505,176
20221221_140505,163
20221221_140505,170
20221221_140505,187
20221221_140505,184
20221221_140505,164
20221221_140505,172
20221221_140505,173
20221221_140505,163
20221221_140505,171
20221221_140505,161
20221221_140505,177
20221221_140505,186
20221221_140505,183
20221221_140505,179
20221221_140506,184
20221221_140506,173
20221221_140506,169
20221221_140506,184
20221221_140506,181
20221221_140506,179
20221221_140506,180
20221221_140506,190
20221221_140506,176
20221221_140506,188
20221221_140506,178
20221221_140506,186
20221221_140506,177
20221221_140506,180
20221221_140506,176
20221221_140506,173
20221221_140506,179
20221221_140506,185
20221221_140507,170
20221221_140507,177
20221221_140507,167
20221221_140507,185
20221221_140507,165
20221221_140507,192
20221221_140507,192
20221221_140507,175
20221221_140507,172
20221221_140507,172
20221221_140507,180
20221221_140507,181
20221221_140507,170
20221221_140507,174
20221221_140507,178
20221221_140507,171
20221221_140507,179
20221221_140507,189
20221221_140508,178
20221221_140508,171
20221221_140508,177
20221221_140508,165
20221221_140508,172
20221221_140508,183
20221221_140508,173
20221221_140508,172
20221221_140508,175
20221221_140508,166
20221221_140508,176
20221221_140508,159
20221221_140508,174
20221221_140508,169
20221221_140508,174
20221221_140508,163
20221221_140508,186
20221221_140508,176
20221221_140509,178
20221221_140509,177
20221221_140509,175
20221221_140509,186
20221221_140509,184
20221221_140509,181
20221221_140509,181
20221221_140509,181
20221221_140509,176
20221221_140509,185
20221221_140509,187
20221221_140509,177
20221221_140509,181
20221221_140509,172
20221221_140509,190
20221221_140509,174
20221221_140509,194
20221221_140510,184
20221221_140510,180
20221221_140510,181
20221221_140510,184
20221221_140510,181
20221221_140510,183
20221221_140510,166
20221221_140510,175
20221221_140510,173
20221221_140510,174
20221221_140510,192
20221221_140510,188
20221221_140510,177
20221221_140510,172
20221221_140510,181
20221221_140510,167
20221221_140510,171
20221221_140510,181
20221221_140511,176
20221221_140511,190
20221221_140511,176
20221221_140511,171
20221221_140511,184
20221221_140511,189
20221221_140511,166
20221221_140511,191
20221221_140511,164
20221221_140511,185
20221221_140511,171
20221221_140511,168
20221221_140511,184
20221221_140511,181
20221221_140511,178
20221221_140511,168
20221221_140511,175
20221221_140511,174
20221221_140512,172
20221221_140512,170
20221221_140512,178
20221221_140512,171
20221221_140512,169
20221221_140512,178
20221221_140512,167
20221221_140512,177
20221221_140512,173
20221221_140512,178
20221221_140512,184
20221221_140512,166
20221221_140512,177
20221221_140512,175
20221221_140512,181
20221221_140512,164
20221221_140512,180
20221221_140512,175
20221221_140513,165
20221221_140513,159
20221221_140513,180
20221221_140513,173
20221221_140513,177
20221221_140513,166
20221221_140513,179
20221221_140513,187
20221221_140513,186
20221221_140513,185
20221221_140513,174
20221221_140513,165
20221221_140513,175
20221221_140513,177
20221221_140513,181
20221221_140513,176
20221221_140513,165
20221221_140514,175
20221221_140514,186
20221221_140514,175
20221221_140514,190
20221221_140514,190
20221221_140514,174
20221221_140514,177
20221221_140514,177
20221221_140514,184
