Time,CameraA Max,,mean,std,SE,,,,,,,,,
20221215_174215,550,,540.0945614,39.45950884,0.652423844,1.239605303,,,,9.9,10,0.104446594,0.104446594,0.030151134
20221215_174215,543,,,,,,,,,9.9,,,,
20221215_174215,558,,,,,,,,,9.9,,,,
20221215_174215,526,,,RSD,,,,,,9.9,,10.06636265,0.010444659,
20221215_174215,518,,,0.073060371,,,,,,9.9,,,,
20221215_174215,501,,,,,,,,,9.9,,,,
20221215_174215,409,,,,,,,,,10.1,,,,
20221215_174215,479,,,,,,,,,10.1,,,,
20221215_174215,543,,,,,,,,,10.1,,,,
20221215_174216,561,,,,,,,,,10.1,,,,
20221215_174216,523,,,,,,,,,10.1,,,,
20221215_174216,527,,,,,,,,,10.1,,,,
20221215_174216,535,,,,,,,,,,,,,
20221215_174216,570,,,,,,,,,,,,,
20221215_174216,596,,,,,,,,,,,,,
20221215_174216,658,,,,,,,,,,,,,
20221215_174216,543,,,,,,,,,,,,,
20221215_174216,555,,,,,,,,,,,,,
20221215_174216,560,,,,,,,,,,,,,
20221215_174216,558,,,,,,,,,,,,,
20221215_174216,464,,,,,,,,,,,,,
20221215_174216,562,,,,,,,,,,,,,
20221215_174216,522,,,,,,,,,,,,,
20221215_174216,565,,,,,,,,,,,,,
20221215_174216,633,,,,,,,,,,,,,
20221215_174216,551,,,,,,,,,,,,,
20221215_174216,501,,,,,,,,,,,,,
20221215_174217,541,,,,,,,,,,,,,
20221215_174217,504,,,,,,,,,,,,,
20221215_174217,494,,,,,,,,,,,,,
20221215_174217,540,,,,,,,,,,,,,
20221215_174217,502,,,,,,,,,,,,,
20221215_174217,561,,,,,,,,,,,,,
20221215_174217,560,,,,,,,,,,,,,
20221215_174217,514,,,,,,,,,,,,,
20221215_174217,536,,,,,,,,,,,,,
20221215_174217,530,,,,,,,,,,,,,
20221215_174217,531,,,,,,,,,,,,,
20221215_174217,597,,,,,,,,,,,,,
20221215_174217,605,,,,,,,,,,,,,
20221215_174217,476,,,,,,,,,,,,,
20221215_174217,543,,,,,,,,,,,,,
20221215_174217,526,,,,,,,,,,,,,
20221215_174217,549,,,,,,,,,,,,,
20221215_174217,483,,,,,,,,,,,,,
20221215_174218,495,,,,,,,,,,,,,
20221215_174218,547,,,,,,,,,,,,,
20221215_174218,625,,,,,,,,,,,,,
20221215_174218,626,,,,,,,,,,,,,
20221215_174218,567,,,,,,,,,,,,,
20221215_174218,481,,,,,,,,,,,,,
20221215_174218,547,,,,,,,,,,,,,
20221215_174218,517,,,,,,,,,,,,,
20221215_174218,615,,,,,,,,,,,,,
20221215_174218,617,,,,,,,,,,,,,
20221215_174218,516,,,,,,,,,,,,,
20221215_174218,506,,,,,,,,,,,,,
20221215_174218,534,,,,,,,,,,,,,
20221215_174218,570,,,,,,,,,,,,,
20221215_174218,538,,,,,,,,,,,,,
20221215_174218,530,,,,,,,,,,,,,
20221215_174218,503,,,,,,,,,,,,,
20221215_174219,547,,,,,,,,,,,,,
20221215_174219,518,,,,,,,,,,,,,
20221215_174219,509,,,,,,,,,,,,,
20221215_174219,566,,,,,,,,,,,,,
20221215_174219,495,,,,,,,,,,,,,
20221215_174219,622,,,,,,,,,,,,,
20221215_174219,550,,,,,,,,,,,,,
20221215_174219,547,,,,,,,,,,,,,
20221215_174219,472,,,,,,,,,,,,,
20221215_174219,517,,,,,,,,,,,,,
20221215_174219,539,,,,,,,,,,,,,
20221215_174219,517,,,,,,,,,,,,,
20221215_174219,605,,,,,,,,,,,,,
20221215_174219,497,,,,,,,,,,,,,
20221215_174219,601,,,,,,,,,,,,,
20221215_174219,538,,,,,,,,,,,,,
20221215_174219,588,,,,,,,,,,,,,
20221215_174219,541,,,,,,,,,,,,,
20221215_174220,651,,,,,,,,,,,,,
20221215_174220,512,,,,,,,,,,,,,
20221215_174220,556,,,,,,,,,,,,,
20221215_174220,474,,,,,,,,,,,,,
20221215_174220,514,,,,,,,,,,,,,
20221215_174220,560,,,,,,,,,,,,,
20221215_174220,571,,,,,,,,,,,,,
20221215_174220,510,,,,,,,,,,,,,
20221215_174220,543,,,,,,,,,,,,,
20221215_174220,473,,,,,,,,,,,,,
20221215_174220,461,,,,,,,,,,,,,
20221215_174220,582,,,,,,,,,,,,,
20221215_174220,580,,,,,,,,,,,,,
20221215_174220,482,,,,,,,,,,,,,
20221215_174220,537,,,,,,,,,,,,,
20221215_174220,509,,,,,,,,,,,,,
20221215_174220,565,,,,,,,,,,,,,
20221215_174220,512,,,,,,,,,,,,,
20221215_174221,542,,,,,,,,,,,,,
20221215_174221,651,,,,,,,,,,,,,
20221215_174221,560,,,,,,,,,,,,,
20221215_174221,514,,,,,,,,,,,,,
20221215_174221,576,,,,,,,,,,,,,
20221215_174221,553,,,,,,,,,,,,,
20221215_174221,579,,,,,,,,,,,,,
20221215_174221,540,,,,,,,,,,,,,
20221215_174221,584,,,,,,,,,,,,,
20221215_174221,593,,,,,,,,,,,,,
20221215_174221,519,,,,,,,,,,,,,
20221215_174221,545,,,,,,,,,,,,,
20221215_174221,573,,,,,,,,,,,,,
20221215_174221,552,,,,,,,,,,,,,
20221215_174221,562,,,,,,,,,,,,,
20221215_174221,539,,,,,,,,,,,,,
20221215_174221,553,,,,,,,,,,,,,
20221215_174221,558,,,,,,,,,,,,,
20221215_174222,518,,,,,,,,,,,,,
20221215_174222,538,,,,,,,,,,,,,
20221215_174222,538,,,,,,,,,,,,,
20221215_174222,450,,,,,,,,,,,,,
20221215_174222,527,,,,,,,,,,,,,
20221215_174222,573,,,,,,,,,,,,,
20221215_174222,570,,,,,,,,,,,,,
20221215_174222,549,,,,,,,,,,,,,
20221215_174222,575,,,,,,,,,,,,,
20221215_174222,571,,,,,,,,,,,,,
20221215_174222,599,,,,,,,,,,,,,
20221215_174222,536,,,,,,,,,,,,,
20221215_174222,538,,,,,,,,,,,,,
20221215_174222,493,,,,,,,,,,,,,
20221215_174222,552,,,,,,,,,,,,,
20221215_174222,476,,,,,,,,,,,,,
20221215_174222,598,,,,,,,,,,,,,
20221215_174223,523,,,,,,,,,,,,,
20221215_174223,632,,,,,,,,,,,,,
20221215_174223,553,,,,,,,,,,,,,
20221215_174223,540,,,,,,,,,,,,,
20221215_174223,544,,,,,,,,,,,,,
20221215_174223,520,,,,,,,,,,,,,
20221215_174223,460,,,,,,,,,,,,,
20221215_174223,559,,,,,,,,,,,,,
20221215_174223,565,,,,,,,,,,,,,
20221215_174223,468,,,,,,,,,,,,,
20221215_174223,547,,,,,,,,,,,,,
20221215_174223,576,,,,,,,,,,,,,
20221215_174223,526,,,,,,,,,,,,,
20221215_174223,515,,,,,,,,,,,,,
20221215_174223,564,,,,,,,,,,,,,
20221215_174223,515,,,,,,,,,,,,,
20221215_174223,541,,,,,,,,,,,,,
20221215_174223,534,,,,,,,,,,,,,
20221215_174224,549,,,,,,,,,,,,,
20221215_174224,543,,,,,,,,,,,,,
20221215_174224,492,,,,,,,,,,,,,
20221215_174224,571,,,,,,,,,,,,,
20221215_174224,518,,,,,,,,,,,,,
20221215_174224,524,,,,,,,,,,,,,
20221215_174224,529,,,,,,,,,,,,,
20221215_174224,534,,,,,,,,,,,,,
20221215_174224,519,,,,,,,,,,,,,
20221215_174224,533,,,,,,,,,,,,,
20221215_174224,499,,,,,,,,,,,,,
20221215_174224,569,,,,,,,,,,,,,
20221215_174224,504,,,,,,,,,,,,,
20221215_174224,512,,,,,,,,,,,,,
20221215_174224,499,,,,,,,,,,,,,
20221215_174224,576,,,,,,,,,,,,,
20221215_174224,557,,,,,,,,,,,,,
20221215_174225,543,,,,,,,,,,,,,
20221215_174225,532,,,,,,,,,,,,,
20221215_174225,553,,,,,,,,,,,,,
20221215_174225,523,,,,,,,,,,,,,
20221215_174225,565,,,,,,,,,,,,,
20221215_174225,488,,,,,,,,,,,,,
20221215_174225,567,,,,,,,,,,,,,
20221215_174225,559,,,,,,,,,,,,,
20221215_174225,527,,,,,,,,,,,,,
20221215_174225,586,,,,,,,,,,,,,
20221215_174225,607,,,,,,,,,,,,,
20221215_174225,647,,,,,,,,,,,,,
20221215_174225,529,,,,,,,,,,,,,
20221215_174225,573,,,,,,,,,,,,,
20221215_174225,517,,,,,,,,,,,,,
20221215_174225,539,,,,,,,,,,,,,
20221215_174225,540,,,,,,,,,,,,,
20221215_174225,525,,,,,,,,,,,,,
20221215_174226,562,,,,,,,,,,,,,
20221215_174226,596,,,,,,,,,,,,,
20221215_174226,541,,,,,,,,,,,,,
20221215_174226,586,,,,,,,,,,,,,
20221215_174226,530,,,,,,,,,,,,,
20221215_174226,580,,,,,,,,,,,,,
20221215_174226,532,,,,,,,,,,,,,
20221215_174226,510,,,,,,,,,,,,,
20221215_174226,484,,,,,,,,,,,,,
20221215_174226,476,,,,,,,,,,,,,
20221215_174226,513,,,,,,,,,,,,,
20221215_174226,557,,,,,,,,,,,,,
20221215_174226,496,,,,,,,,,,,,,
20221215_174226,541,,,,,,,,,,,,,
20221215_174226,606,,,,,,,,,,,,,
20221215_174226,530,,,,,,,,,,,,,
20221215_174226,582,,,,,,,,,,,,,
20221215_174227,411,,,,,,,,,,,,,
20221215_174227,541,,,,,,,,,,,,,
20221215_174227,504,,,,,,,,,,,,,
20221215_174227,601,,,,,,,,,,,,,
20221215_174227,515,,,,,,,,,,,,,
20221215_174227,515,,,,,,,,,,,,,
20221215_174227,532,,,,,,,,,,,,,
20221215_174227,509,,,,,,,,,,,,,
20221215_174227,526,,,,,,,,,,,,,
20221215_174227,535,,,,,,,,,,,,,
20221215_174227,586,,,,,,,,,,,,,
20221215_174227,491,,,,,,,,,,,,,
20221215_174227,518,,,,,,,,,,,,,
20221215_174227,579,,,,,,,,,,,,,
20221215_174227,544,,,,,,,,,,,,,
20221215_174227,542,,,,,,,,,,,,,
20221215_174227,488,,,,,,,,,,,,,
20221215_174227,543,,,,,,,,,,,,,
20221215_174228,483,,,,,,,,,,,,,
20221215_174228,621,,,,,,,,,,,,,
20221215_174228,541,,,,,,,,,,,,,
20221215_174228,590,,,,,,,,,,,,,
20221215_174228,540,,,,,,,,,,,,,
20221215_174228,551,,,,,,,,,,,,,
20221215_174228,621,,,,,,,,,,,,,
20221215_174228,474,,,,,,,,,,,,,
20221215_174228,470,,,,,,,,,,,,,
20221215_174228,519,,,,,,,,,,,,,
20221215_174228,544,,,,,,,,,,,,,
20221215_174228,500,,,,,,,,,,,,,
20221215_174228,538,,,,,,,,,,,,,
20221215_174228,535,,,,,,,,,,,,,
20221215_174228,550,,,,,,,,,,,,,
20221215_174228,566,,,,,,,,,,,,,
20221215_174228,545,,,,,,,,,,,,,
20221215_174228,533,,,,,,,,,,,,,
20221215_174229,581,,,,,,,,,,,,,
20221215_174229,534,,,,,,,,,,,,,
20221215_174229,577,,,,,,,,,,,,,
20221215_174229,502,,,,,,,,,,,,,
20221215_174229,534,,,,,,,,,,,,,
20221215_174229,539,,,,,,,,,,,,,
20221215_174229,499,,,,,,,,,,,,,
20221215_174229,519,,,,,,,,,,,,,
20221215_174229,500,,,,,,,,,,,,,
20221215_174229,554,,,,,,,,,,,,,
20221215_174229,554,,,,,,,,,,,,,
20221215_174229,538,,,,,,,,,,,,,
20221215_174229,526,,,,,,,,,,,,,
20221215_174229,576,,,,,,,,,,,,,
20221215_174229,559,,,,,,,,,,,,,
20221215_174229,488,,,,,,,,,,,,,
20221215_174229,564,,,,,,,,,,,,,
20221215_174229,587,,,,,,,,,,,,,
20221215_174230,491,,,,,,,,,,,,,
20221215_174230,460,,,,,,,,,,,,,
20221215_174230,531,,,,,,,,,,,,,
20221215_174230,515,,,,,,,,,,,,,
20221215_174230,511,,,,,,,,,,,,,
20221215_174230,476,,,,,,,,,,,,,
20221215_174230,516,,,,,,,,,,,,,
20221215_174230,538,,,,,,,,,,,,,
20221215_174230,485,,,,,,,,,,,,,
20221215_174230,597,,,,,,,,,,,,,
20221215_174230,497,,,,,,,,,,,,,
20221215_174230,527,,,,,,,,,,,,,
20221215_174230,475,,,,,,,,,,,,,
20221215_174230,450,,,,,,,,,,,,,
20221215_174230,511,,,,,,,,,,,,,
20221215_174230,567,,,,,,,,,,,,,
20221215_174230,583,,,,,,,,,,,,,
20221215_174231,530,,,,,,,,,,,,,
20221215_174231,558,,,,,,,,,,,,,
20221215_174231,433,,,,,,,,,,,,,
20221215_174231,627,,,,,,,,,,,,,
20221215_174231,534,,,,,,,,,,,,,
20221215_174231,453,,,,,,,,,,,,,
20221215_174231,565,,,,,,,,,,,,,
20221215_174231,517,,,,,,,,,,,,,
20221215_174231,539,,,,,,,,,,,,,
20221215_174231,501,,,,,,,,,,,,,
20221215_174231,595,,,,,,,,,,,,,
20221215_174231,510,,,,,,,,,,,,,
20221215_174231,522,,,,,,,,,,,,,
20221215_174231,531,,,,,,,,,,,,,
20221215_174231,502,,,,,,,,,,,,,
20221215_174231,638,,,,,,,,,,,,,
20221215_174231,531,,,,,,,,,,,,,
20221215_174231,567,,,,,,,,,,,,,
20221215_174232,577,,,,,,,,,,,,,
20221215_174232,514,,,,,,,,,,,,,
20221215_174232,544,,,,,,,,,,,,,
20221215_174232,512,,,,,,,,,,,,,
20221215_174232,588,,,,,,,,,,,,,
20221215_174232,539,,,,,,,,,,,,,
20221215_174232,560,,,,,,,,,,,,,
20221215_174232,531,,,,,,,,,,,,,
20221215_174232,475,,,,,,,,,,,,,
20221215_174232,500,,,,,,,,,,,,,
20221215_174232,640,,,,,,,,,,,,,
20221215_174232,532,,,,,,,,,,,,,
20221215_174232,513,,,,,,,,,,,,,
20221215_174232,613,,,,,,,,,,,,,
20221215_174232,509,,,,,,,,,,,,,
20221215_174232,541,,,,,,,,,,,,,
20221215_174232,481,,,,,,,,,,,,,
20221215_174232,566,,,,,,,,,,,,,
20221215_174233,516,,,,,,,,,,,,,
20221215_174233,493,,,,,,,,,,,,,
20221215_174233,549,,,,,,,,,,,,,
20221215_174233,512,,,,,,,,,,,,,
20221215_174233,569,,,,,,,,,,,,,
20221215_174233,513,,,,,,,,,,,,,
20221215_174233,463,,,,,,,,,,,,,
20221215_174233,596,,,,,,,,,,,,,
20221215_174233,585,,,,,,,,,,,,,
20221215_174233,498,,,,,,,,,,,,,
20221215_174233,553,,,,,,,,,,,,,
20221215_174233,527,,,,,,,,,,,,,
20221215_174233,588,,,,,,,,,,,,,
20221215_174233,507,,,,,,,,,,,,,
20221215_174233,517,,,,,,,,,,,,,
20221215_174233,515,,,,,,,,,,,,,
20221215_174233,599,,,,,,,,,,,,,
20221215_174233,506,,,,,,,,,,,,,
20221215_174234,519,,,,,,,,,,,,,
20221215_174234,605,,,,,,,,,,,,,
20221215_174234,552,,,,,,,,,,,,,
20221215_174234,515,,,,,,,,,,,,,
20221215_174234,535,,,,,,,,,,,,,
20221215_174234,638,,,,,,,,,,,,,
20221215_174234,497,,,,,,,,,,,,,
20221215_174234,490,,,,,,,,,,,,,
20221215_174234,518,,,,,,,,,,,,,
20221215_174234,488,,,,,,,,,,,,,
20221215_174234,562,,,,,,,,,,,,,
20221215_174234,474,,,,,,,,,,,,,
20221215_174234,547,,,,,,,,,,,,,
20221215_174234,542,,,,,,,,,,,,,
20221215_174234,511,,,,,,,,,,,,,
20221215_174234,553,,,,,,,,,,,,,
20221215_174234,540,,,,,,,,,,,,,
20221215_174234,526,,,,,,,,,,,,,
20221215_174235,561,,,,,,,,,,,,,
20221215_174235,598,,,,,,,,,,,,,
20221215_174235,521,,,,,,,,,,,,,
20221215_174235,544,,,,,,,,,,,,,
20221215_174235,421,,,,,,,,,,,,,
20221215_174235,519,,,,,,,,,,,,,
20221215_174235,512,,,,,,,,,,,,,
20221215_174235,560,,,,,,,,,,,,,
20221215_174235,604,,,,,,,,,,,,,
20221215_174235,570,,,,,,,,,,,,,
20221215_174235,511,,,,,,,,,,,,,
20221215_174235,524,,,,,,,,,,,,,
20221215_174235,544,,,,,,,,,,,,,
