Time,CameraA Max
20221216_170358,0
20221216_170358,0
20221216_170359,39
20221216_170359,75
20221216_170359,62
20221216_170359,38
20221216_170359,56
20221216_170359,52
20221216_170359,39
20221216_170359,80
20221216_170359,46
20221216_170400,33
20221216_170400,43
20221216_170400,71
20221216_170400,34
20221216_170400,50
20221216_170400,53
20221216_170400,57
20221216_170400,48
20221216_170400,75
20221216_170401,52
20221216_170401,43
20221216_170401,48
20221216_170401,71
20221216_170401,47
20221216_170401,65
20221216_170401,88
20221216_170401,57
20221216_170401,90
20221216_170402,39
20221216_170402,70
20221216_170402,73
20221216_170402,71
20221216_170402,76
20221216_170402,59
20221216_170402,71
20221216_170402,39
20221216_170403,39
20221216_170403,53
20221216_170403,51
20221216_170403,51
20221216_170403,57
20221216_170403,53
20221216_170403,79
20221216_170403,52
20221216_170403,29
20221216_170404,34
20221216_170404,77
20221216_170404,77
20221216_170404,66
20221216_170404,63
20221216_170404,44
20221216_170404,39
20221216_170404,53
20221216_170404,39
20221216_170405,76
20221216_170405,47
20221216_170405,65
20221216_170405,31
20221216_170405,47
20221216_170405,50
20221216_170405,32
20221216_170405,61
20221216_170405,39
20221216_170406,61
20221216_170406,70
20221216_170406,66
20221216_170406,49
20221216_170406,77
20221216_170406,66
20221216_170406,47
20221216_170406,49
20221216_170406,57
20221216_170407,62
20221216_170407,55
20221216_170407,47
20221216_170407,57
20221216_170407,39
20221216_170407,77
20221216_170407,61
20221216_170407,72
20221216_170407,56
20221216_170408,45
20221216_170408,45
20221216_170408,72
20221216_170408,52
20221216_170408,82
20221216_170412,50
20221216_170412,44
20221216_170412,52
20221216_170412,44
20221216_170412,67
20221216_170412,61
20221216_170412,75
20221216_170412,33
20221216_170412,38
20221216_170413,56
20221216_170413,30
20221216_170413,57
20221216_170413,79
20221216_170413,49
20221216_170413,66
20221216_170413,44
20221216_170413,43
20221216_170413,47
20221216_170414,42
20221216_170414,59
20221216_170414,43
20221216_170414,54
20221216_170414,53
20221216_170414,67
20221216_170414,72
20221216_170414,52
20221216_170414,52
20221216_170415,66
20221216_170415,37
20221216_170415,56
20221216_170415,85
20221216_170415,63
20221216_170415,54
20221216_170415,50
20221216_170415,55
20221216_170415,43
20221216_170416,68
20221216_170416,47
20221216_170416,83
20221216_170416,51
20221216_170416,52
20221216_170416,61
20221216_170416,43
20221216_170416,93
20221216_170416,69
20221216_170417,45
20221216_170417,41
20221216_170417,102
20221216_170417,106
20221216_170417,120
20221216_170417,88
20221216_170417,67
20221216_170417,25
20221216_170417,9
20221216_170417,5
20221216_170417,0
20221216_170417,0
20221216_170417,0
20221216_170417,0
20221216_170418,0
20221216_170418,6
20221216_170418,0
20221216_170418,0
20221216_170418,0
20221216_170418,0
20221216_170418,0
20221216_170418,11
20221216_170418,19
20221216_170418,56
20221216_170418,43
20221216_170418,27
20221216_170418,23
