Time,CameraA Max
20221219_112641,5
20221219_112642,3
20221219_112642,3
20221219_112642,5
20221219_112642,4
20221219_112642,5
20221219_112642,3
20221219_112642,3
20221219_112642,2
20221219_112642,4
20221219_112642,3
20221219_112642,0
20221219_112642,3
20221219_112642,2
20221219_112642,4
20221219_112642,3
20221219_112642,3
20221219_112642,3
20221219_112642,2
20221219_112642,3
20221219_112643,5
20221219_112643,2
20221219_112643,2
20221219_112643,4
20221219_112643,4
20221219_112643,2
20221219_112643,5
20221219_112643,2
20221219_112643,2
20221219_112643,2
20221219_112643,4
20221219_112643,5
20221219_112643,6
20221219_112643,3
20221219_112643,2
20221219_112643,2
20221219_112643,4
20221219_112644,5
20221219_112644,1
20221219_112644,2
20221219_112644,1
20221219_112644,4
20221219_112644,4
20221219_112644,4
20221219_112644,6
20221219_112644,4
20221219_112644,3
20221219_112644,3
20221219_112644,3
20221219_112644,3
20221219_112644,5
20221219_112644,7
20221219_112644,2
20221219_112644,3
20221219_112644,3
20221219_112645,5
20221219_112645,4
20221219_112645,2
20221219_112645,4
20221219_112645,4
20221219_112645,4
20221219_112645,1
20221219_112645,3
20221219_112645,2
20221219_112645,4
20221219_112645,1
20221219_112645,3
20221219_112645,3
20221219_112645,3
20221219_112645,2
20221219_112645,2
20221219_112645,4
20221219_112645,6
20221219_112646,2
20221219_112646,5
20221219_112646,2
20221219_112646,1
20221219_112646,3
20221219_112646,5
20221219_112646,2
20221219_112646,4
20221219_112646,2
20221219_112646,5
20221219_112646,4
20221219_112646,4
20221219_112646,4
20221219_112646,6
20221219_112646,6
20221219_112646,3
20221219_112646,2
20221219_112646,4
20221219_112647,2
20221219_112647,3
20221219_112647,4
20221219_112647,5
20221219_112647,4
20221219_112647,3
20221219_112647,4
20221219_112647,4
20221219_112647,2
20221219_112647,4
20221219_112647,6
20221219_112647,3
20221219_112647,1
20221219_112647,2
20221219_112647,3
20221219_112647,2
20221219_112647,3
20221219_112648,2
20221219_112648,3
20221219_112648,3
20221219_112648,2
20221219_112648,3
20221219_112648,6
20221219_112648,5
20221219_112648,4
20221219_112648,1
20221219_112648,5
20221219_112648,3
20221219_112648,4
20221219_112648,3
20221219_112648,3
20221219_112648,3
20221219_112648,3
20221219_112648,4
20221219_112648,2
20221219_112649,4
20221219_112649,4
20221219_112649,3
20221219_112649,5
20221219_112649,5
20221219_112649,4
20221219_112649,6
20221219_112649,2
20221219_112649,2
20221219_112649,4
20221219_112649,2
20221219_112649,1
20221219_112649,3
20221219_112649,3
20221219_112649,3
20221219_112649,2
20221219_112649,4
20221219_112649,3
20221219_112650,4
20221219_112650,2
20221219_112650,4
20221219_112650,6
20221219_112650,4
20221219_112650,2
20221219_112650,4
20221219_112650,4
20221219_112650,4
20221219_112650,3
20221219_112650,4
20221219_112650,4
20221219_112650,3
20221219_112650,3
20221219_112650,4
20221219_112650,4
20221219_112650,2
20221219_112650,2
20221219_112651,2
20221219_112651,2
20221219_112651,4
20221219_112651,1
20221219_112651,4
20221219_112651,4
20221219_112651,2
20221219_112651,5
20221219_112651,3
20221219_112651,2
20221219_112651,3
20221219_112651,5
20221219_112651,4
20221219_112651,3
20221219_112651,4
20221219_112651,4
20221219_112651,3
20221219_112652,3
20221219_112652,2
20221219_112652,3
20221219_112652,4
20221219_112652,4
20221219_112652,5
20221219_112652,2
20221219_112652,2
20221219_112652,3
20221219_112652,4
20221219_112652,4
20221219_112652,3
20221219_112652,2
20221219_112652,2
20221219_112652,4
20221219_112652,3
20221219_112652,2
20221219_112652,2
20221219_112653,3
20221219_112653,3
20221219_112653,3
20221219_112653,2
20221219_112653,2
20221219_112653,4
20221219_112653,4
20221219_112653,4
20221219_112653,3
20221219_112653,4
20221219_112653,3
20221219_112653,4
20221219_112653,2
20221219_112653,3
20221219_112653,4
20221219_112653,3
20221219_112653,4
20221219_112653,2
20221219_112654,3
20221219_112654,5
20221219_112654,4
20221219_112654,2
20221219_112654,4
20221219_112654,5
20221219_112654,3
20221219_112654,2
20221219_112654,1
20221219_112654,2
20221219_112654,4
20221219_112654,3
20221219_112654,4
20221219_112654,2
20221219_112654,6
20221219_112654,5
20221219_112654,4
20221219_112654,3
20221219_112655,4
20221219_112655,3
20221219_112655,3
20221219_112655,3
20221219_112655,5
20221219_112655,4
20221219_112655,3
20221219_112655,3
20221219_112655,4
20221219_112655,6
20221219_112655,5
20221219_112655,4
20221219_112655,2
20221219_112655,5
20221219_112655,5
20221219_112655,5
20221219_112655,3
20221219_112656,4
20221219_112656,2
20221219_112656,1
20221219_112656,6
20221219_112656,4
20221219_112656,3
20221219_112656,3
20221219_112656,1
20221219_112656,2
20221219_112656,5
20221219_112656,3
20221219_112656,4
20221219_112656,4
20221219_112656,3
20221219_112656,2
20221219_112656,4
20221219_112656,3
20221219_112656,4
20221219_112657,6
20221219_112657,3
20221219_112657,3
20221219_112657,3
20221219_112657,3
20221219_112657,4
20221219_112657,2
20221219_112657,3
