Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,
20221220_181508,553,1143,1726,2282,3394,,,,,,,
20221220_181508,565,1127,1694,2282,3350,,,563.3453608,1147.158537,1719.728261,2294.561538,3383.053846
20221220_181508,554,1112,1730,2274,3364,,,16.54133789,22.52576957,26.61161577,37.86512249,44.07926467
20221220_181508,572,1125,1754,2314,3471,,,0.029362695,0.019636143,0.015474314,0.016502117,0.01302943
20221220_181508,587,1114,1700,2373,3391,,,,,,,
20221220_181508,576,1175,1744,2304,3402,,,,,,,
20221220_181508,556,1155,1737,2339,3427,,,,,,,
20221220_181508,560,1162,1756,2363,3414,,,,,,,
20221220_181508,551,1139,1763,2306,3424,,,,,,,
20221220_181508,532,1163,1757,2333,3409,,,,,,,
20221220_181508,547,1147,1733,2293,3464,,,,,,,
20221220_181508,579,1151,1737,2283,3377,,,,,,,
20221220_181509,550,1124,1768,2257,3388,,,,,,,
20221220_181509,556,1146,1739,2264,3412,,,,,,,
20221220_181509,541,1154,1710,2232,3378,,,,,,,
20221220_181509,539,1161,1728,2238,3381,,,,,,,
20221220_181509,550,1147,1742,2250,3341,,,,,,,
20221220_181509,565,1142,1746,2317,3418,,,,,,,
20221220_181509,549,1110,1709,2287,3397,,,,,,,
20221220_181509,562,1170,1748,2298,3362,,,,,,,
20221220_181509,581,1163,1753,2334,3344,,,,,,,
20221220_181509,549,1191,1720,2242,3324,,,,,,,
20221220_181509,538,1179,1739,2274,3346,,,,,,,
20221220_181509,569,1163,1714,2292,3333,,,,,,,
20221220_181509,547,1180,1676,2233,3392,,,,,,,
20221220_181509,559,1186,1745,2257,3380,,,,,,,
20221220_181509,546,1124,1728,2390,3331,,,,,,,
20221220_181509,557,1142,1735,2416,3333,,,,,,,
20221220_181509,562,1163,1691,2414,3396,,,,,,,
20221220_181509,550,1124,1703,2375,3366,,,,,,,
20221220_181510,555,1143,1716,2314,3363,,,,,,,
20221220_181510,577,1174,1732,2374,3349,,,,,,,
20221220_181510,566,1172,1684,2360,3394,,,,,,,
20221220_181510,598,1152,1757,2354,3341,,,,,,,
20221220_181510,566,1143,1738,2313,3376,,,,,,,
20221220_181510,539,1148,1735,2307,3418,,,,,,,
20221220_181510,543,1129,1688,2280,3311,,,,,,,
20221220_181510,547,1166,1717,2285,3356,,,,,,,
20221220_181510,537,1169,1713,2317,3358,,,,,,,
20221220_181510,559,1182,1687,2258,3404,,,,,,,
20221220_181510,554,1146,1722,2260,3397,,,,,,,
20221220_181510,541,1169,1693,2329,3395,,,,,,,
20221220_181510,536,1147,1736,2263,3440,,,,,,,
20221220_181510,569,1168,1717,2293,3407,,,,,,,
20221220_181510,561,1149,1720,2267,3426,,,,,,,
20221220_181510,552,1173,1708,2285,3403,,,,,,,
20221220_181510,583,1129,1731,2254,3376,,,,,,,
20221220_181510,576,1146,1643,2293,3371,,,,,,,
20221220_181511,558,1107,1689,2267,3404,,,,,,,
20221220_181511,554,1166,1691,2221,3433,,,,,,,
20221220_181511,529,1114,1716,2265,3457,,,,,,,
20221220_181511,550,1134,1723,2313,3412,,,,,,,
20221220_181511,560,1115,1692,2266,3486,,,,,,,
20221220_181511,549,1140,1708,2267,3388,,,,,,,
20221220_181511,570,1118,1674,2326,3362,,,,,,,
20221220_181511,579,1135,1714,2284,3359,,,,,,,
20221220_181511,563,1128,1680,2279,3402,,,,,,,
20221220_181511,570,1162,1740,2251,3447,,,,,,,
20221220_181511,558,1136,1714,2281,3411,,,,,,,
20221220_181511,546,1135,1712,2288,3394,,,,,,,
20221220_181511,554,1106,1735,2248,3403,,,,,,,
20221220_181511,564,1128,1673,2240,3422,,,,,,,
20221220_181511,556,1139,1722,2277,3400,,,,,,,
20221220_181511,562,1150,1700,2302,3334,,,,,,,
20221220_181511,574,1170,1715,2329,3355,,,,,,,
20221220_181512,563,1126,1698,2295,3341,,,,,,,
20221220_181512,543,1127,1704,2297,3327,,,,,,,
20221220_181512,541,1143,1709,2274,3442,,,,,,,
20221220_181512,564,1175,1705,2265,3391,,,,,,,
20221220_181512,583,1115,1731,2292,3455,,,,,,,
20221220_181512,560,1146,1721,2267,3359,,,,,,,
20221220_181512,571,1108,1720,2343,3404,,,,,,,
20221220_181512,562,1135,1785,2335,3431,,,,,,,
20221220_181512,565,1099,1732,2293,3372,,,,,,,
20221220_181512,565,1131,1740,2271,3458,,,,,,,
20221220_181512,574,1128,1670,2229,3404,,,,,,,
20221220_181512,550,1114,1711,2217,3324,,,,,,,
