Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,,
20221221_132942,35,77,138,184,246,350,,,,,,,,,
20221221_132942,32,77,128,185,263,371,,,,37.77350427,85.12048193,131.3189655,177.4777778,266.1703704,350.2479339
20221221_132942,39,72,134,181,274,363,,,,3.634004711,5.287808321,7.136677022,7.402137222,11.78067019,13.25662161
20221221_132942,36,85,110,170,271,367,,,,0.096205125,0.062121457,0.054346126,0.041707403,0.044259886,0.03784925
20221221_132942,35,84,117,175,272,341,,,,,,,,,
20221221_132942,35,86,123,181,273,356,,,,,,,,,
20221221_132942,37,85,132,178,267,350,,,,,,,,,
20221221_132942,34,84,123,180,254,359,,,,,,,,,
20221221_132942,41,96,126,179,269,353,,,,,,,,,
20221221_132942,38,90,128,172,257,344,,,,,,,,,
20221221_132942,36,86,120,188,263,360,,,,,,,,,
20221221_132943,36,84,136,184,280,337,,,,,,,,,
20221221_132943,43,88,125,176,280,367,,,,,,,,,
20221221_132943,33,92,138,184,271,349,,,,,,,,,
20221221_132943,34,83,127,169,253,349,,,,,,,,,
20221221_132943,38,90,122,174,269,363,,,,,,,,,
20221221_132943,41,85,127,172,252,340,,,,,,,,,
20221221_132943,41,93,129,167,237,341,,,,,,,,,
20221221_132943,35,82,119,163,257,350,,,,,,,,,
20221221_132943,36,82,130,171,241,348,,,,,,,,,
20221221_132943,39,72,117,181,258,354,,,,,,,,,
20221221_132943,45,79,128,177,276,358,,,,,,,,,
20221221_132943,37,83,131,177,256,376,,,,,,,,,
20221221_132943,34,79,131,188,277,378,,,,,,,,,
20221221_132943,35,94,127,189,270,353,,,,,,,,,
20221221_132943,37,82,131,185,256,350,,,,,,,,,
20221221_132943,41,88,131,179,266,356,,,,,,,,,
20221221_132943,38,90,136,187,256,357,,,,,,,,,
20221221_132943,48,83,137,170,247,350,,,,,,,,,
20221221_132944,34,95,134,189,271,341,,,,,,,,,
20221221_132944,36,84,130,180,267,344,,,,,,,,,
20221221_132944,34,87,146,163,220,374,,,,,,,,,
20221221_132944,35,77,125,179,240,368,,,,,,,,,
20221221_132944,35,85,132,172,265,343,,,,,,,,,
20221221_132944,36,76,139,193,267,356,,,,,,,,,
20221221_132944,31,91,140,175,259,353,,,,,,,,,
20221221_132944,37,84,130,183,241,369,,,,,,,,,
20221221_132944,41,89,130,180,251,353,,,,,,,,,
20221221_132944,38,91,127,185,276,361,,,,,,,,,
20221221_132944,34,78,139,191,268,348,,,,,,,,,
20221221_132944,33,91,132,172,279,337,,,,,,,,,
20221221_132944,33,85,145,173,271,318,,,,,,,,,
20221221_132944,36,79,131,178,268,347,,,,,,,,,
20221221_132944,34,82,128,189,265,350,,,,,,,,,
20221221_132944,38,86,137,167,275,329,,,,,,,,,
20221221_132944,39,89,130,174,275,330,,,,,,,,,
20221221_132945,38,88,132,172,258,350,,,,,,,,,
20221221_132945,41,79,139,186,273,346,,,,,,,,,
20221221_132945,34,86,135,166,257,335,,,,,,,,,
20221221_132945,39,84,139,171,272,356,,,,,,,,,
20221221_132945,39,90,130,175,277,346,,,,,,,,,
20221221_132945,35,87,129,177,254,357,,,,,,,,,
20221221_132945,39,86,132,187,265,347,,,,,,,,,
20221221_132945,38,91,131,169,271,326,,,,,,,,,
20221221_132945,42,91,133,180,255,348,,,,,,,,,
20221221_132945,38,92,152,179,246,361,,,,,,,,,
20221221_132945,44,86,126,170,252,353,,,,,,,,,
20221221_132945,35,79,126,177,240,336,,,,,,,,,
20221221_132945,43,87,129,174,257,342,,,,,,,,,
20221221_132945,31,91,132,171,255,356,,,,,,,,,
20221221_132945,37,82,134,188,249,347,,,,,,,,,
20221221_132945,38,88,141,170,265,364,,,,,,,,,
20221221_132945,38,89,127,186,256,366,,,,,,,,,
20221221_132945,34,76,130,186,274,355,,,,,,,,,
20221221_132946,33,87,140,183,272,344,,,,,,,,,
20221221_132946,45,79,126,171,263,360,,,,,,,,,
20221221_132946,35,88,135,170,277,347,,,,,,,,,
20221221_132946,37,86,141,171,286,364,,,,,,,,,
20221221_132946,34,90,130,189,272,353,,,,,,,,,
20221221_132946,36,87,138,175,275,349,,,,,,,,,
20221221_132946,38,92,132,179,260,360,,,,,,,,,
20221221_132946,37,84,120,176,282,354,,,,,,,,,
20221221_132946,38,79,131,168,256,342,,,,,,,,,
20221221_132946,42,93,140,169,275,338,,,,,,,,,
20221221_132946,37,84,146,175,279,346,,,,,,,,,
20221221_132946,38,89,124,186,263,343,,,,,,,,,
20221221_132946,36,88,128,173,258,350,,,,,,,,,
20221221_132946,32,88,126,193,263,351,,,,,,,,,
20221221_132946,32,78,128,189,254,349,,,,,,,,,
20221221_132946,33,80,125,181,267,363,,,,,,,,,
20221221_132946,36,84,129,178,269,363,,,,,,,,,
20221221_132946,48,77,134,168,268,353,,,,,,,,,
20221221_132947,39,80,120,174,267,356,,,,,,,,,
20221221_132947,37,,131,180,263,359,,,,,,,,,
20221221_132947,36,,132,173,280,364,,,,,,,,,
20221221_132947,36,,128,173,253,343,,,,,,,,,
20221221_132947,37,,125,164,255,342,,,,,,,,,
20221221_132947,37,,128,180,273,339,,,,,,,,,
20221221_132947,32,,123,166,274,366,,,,,,,,,
20221221_132947,39,,144,176,266,338,,,,,,,,,
20221221_132947,34,,127,,260,300,,,,,,,,,
20221221_132947,33,,123,,270,307,,,,,,,,,
20221221_132947,41,,146,,274,309,,,,,,,,,
20221221_132947,42,,127,,285,334,,,,,,,,,
20221221_132947,34,,131,,277,343,,,,,,,,,
20221221_132947,48,,123,,267,348,,,,,,,,,
20221221_132947,35,,130,,282,354,,,,,,,,,
20221221_132947,34,,126,,294,340,,,,,,,,,
20221221_132947,32,,133,,273,339,,,,,,,,,
20221221_132947,35,,127,,267,354,,,,,,,,,
20221221_132948,34,,128,,270,350,,,,,,,,,
20221221_132948,34,,143,,266,362,,,,,,,,,
20221221_132948,34,,127,,293,338,,,,,,,,,
20221221_132948,36,,136,,273,367,,,,,,,,,
20221221_132948,44,,146,,271,356,,,,,,,,,
20221221_132948,34,,140,,276,326,,,,,,,,,
20221221_132948,43,,133,,287,353,,,,,,,,,
20221221_132948,39,,136,,283,337,,,,,,,,,
20221221_132948,36,,137,,270,336,,,,,,,,,
20221221_132948,43,,122,,258,358,,,,,,,,,
20221221_132948,37,,125,,283,349,,,,,,,,,
20221221_132948,42,,137,,281,338,,,,,,,,,
20221221_132948,38,,131,,271,369,,,,,,,,,
20221221_132948,45,,145,,275,360,,,,,,,,,
20221221_132948,38,,138,,259,353,,,,,,,,,
20221221_132948,36,,139,,260,371,,,,,,,,,
20221221_132948,36,,,,250,359,,,,,,,,,
20221221_132949,36,,,,267,364,,,,,,,,,
20221221_132949,42,,,,274,351,,,,,,,,,
20221221_132949,41,,,,270,349,,,,,,,,,
20221221_132949,43,,,,275,368,,,,,,,,,
20221221_132949,37,,,,278,,,,,,,,,,
20221221_132949,34,,,,265,,,,,,,,,,
20221221_132949,41,,,,259,,,,,,,,,,
20221221_132949,37,,,,277,,,,,,,,,,
20221221_132949,36,,,,258,,,,,,,,,,
20221221_132949,37,,,,283,,,,,,,,,,
20221221_132949,41,,,,265,,,,,,,,,,
20221221_132949,37,,,,267,,,,,,,,,,
20221221_132949,43,,,,273,,,,,,,,,,
20221221_132949,39,,,,262,,,,,,,,,,
20221221_132949,34,,,,255,,,,,,,,,,
20221221_132949,37,,,,276,,,,,,,,,,
20221221_132949,36,,,,273,,,,,,,,,,
20221221_132949,41,,,,266,,,,,,,,,,
20221221_132950,34,,,,,,,,,,,,,,
20221221_132950,45,,,,,,,,,,,,,,
20221221_132950,42,,,,,,,,,,,,,,
20221221_132950,39,,,,,,,,,,,,,,
20221221_132950,29,,,,,,,,,,,,,,
20221221_132950,43,,,,,,,,,,,,,,
20221221_132950,33,,,,,,,,,,,,,,
20221221_132950,41,,,,,,,,,,,,,,
20221221_132950,35,,,,,,,,,,,,,,
20221221_132950,33,,,,,,,,,,,,,,
20221221_132950,41,,,,,,,,,,,,,,
20221221_132950,37,,,,,,,,,,,,,,
20221221_132950,39,,,,,,,,,,,,,,
20221221_132950,36,,,,,,,,,,,,,,
20221221_132950,37,,,,,,,,,,,,,,
20221221_132950,41,,,,,,,,,,,,,,
20221221_132950,38,,,,,,,,,,,,,,
20221221_132950,37,,,,,,,,,,,,,,
20221221_132951,31,,,,,,,,,,,,,,
20221221_132951,42,,,,,,,,,,,,,,
20221221_132951,34,,,,,,,,,,,,,,
20221221_132951,39,,,,,,,,,,,,,,
20221221_132951,37,,,,,,,,,,,,,,
20221221_132951,38,,,,,,,,,,,,,,
20221221_132951,42,,,,,,,,,,,,,,
20221221_132951,39,,,,,,,,,,,,,,
20221221_132951,41,,,,,,,,,,,,,,
20221221_132951,41,,,,,,,,,,,,,,
20221221_132951,43,,,,,,,,,,,,,,
20221221_132951,32,,,,,,,,,,,,,,
20221221_132951,39,,,,,,,,,,,,,,
20221221_132951,42,,,,,,,,,,,,,,
20221221_132951,37,,,,,,,,,,,,,,
20221221_132951,34,,,,,,,,,,,,,,
20221221_132951,36,,,,,,,,,,,,,,
20221221_132951,45,,,,,,,,,,,,,,
20221221_132952,41,,,,,,,,,,,,,,
20221221_132952,36,,,,,,,,,,,,,,
20221221_132952,37,,,,,,,,,,,,,,
20221221_132952,31,,,,,,,,,,,,,,
20221221_132952,39,,,,,,,,,,,,,,
20221221_132952,33,,,,,,,,,,,,,,
20221221_132952,42,,,,,,,,,,,,,,
20221221_132952,36,,,,,,,,,,,,,,
20221221_132952,41,,,,,,,,,,,,,,
20221221_132952,41,,,,,,,,,,,,,,
20221221_132952,33,,,,,,,,,,,,,,
20221221_132952,43,,,,,,,,,,,,,,
20221221_132952,39,,,,,,,,,,,,,,
20221221_132952,35,,,,,,,,,,,,,,
20221221_132952,37,,,,,,,,,,,,,,
20221221_132952,39,,,,,,,,,,,,,,
20221221_132952,42,,,,,,,,,,,,,,
20221221_132952,41,,,,,,,,,,,,,,
20221221_132953,36,,,,,,,,,,,,,,
20221221_132953,37,,,,,,,,,,,,,,
20221221_132953,38,,,,,,,,,,,,,,
20221221_132953,37,,,,,,,,,,,,,,
20221221_132953,37,,,,,,,,,,,,,,
20221221_132953,37,,,,,,,,,,,,,,
20221221_132953,44,,,,,,,,,,,,,,
20221221_132953,32,,,,,,,,,,,,,,
20221221_132953,44,,,,,,,,,,,,,,
20221221_132953,34,,,,,,,,,,,,,,
20221221_132953,36,,,,,,,,,,,,,,
20221221_132953,36,,,,,,,,,,,,,,
20221221_132953,35,,,,,,,,,,,,,,
20221221_132953,33,,,,,,,,,,,,,,
20221221_132953,39,,,,,,,,,,,,,,
20221221_132953,36,,,,,,,,,,,,,,
20221221_132953,38,,,,,,,,,,,,,,
20221221_132954,37,,,,,,,,,,,,,,
20221221_132954,39,,,,,,,,,,,,,,
20221221_132954,38,,,,,,,,,,,,,,
20221221_132954,35,,,,,,,,,,,,,,
20221221_132954,38,,,,,,,,,,,,,,
20221221_132954,42,,,,,,,,,,,,,,
20221221_132954,42,,,,,,,,,,,,,,
20221221_132954,42,,,,,,,,,,,,,,
20221221_132954,46,,,,,,,,,,,,,,
20221221_132954,37,,,,,,,,,,,,,,
20221221_132954,42,,,,,,,,,,,,,,
20221221_132954,39,,,,,,,,,,,,,,
20221221_132954,35,,,,,,,,,,,,,,
20221221_132954,39,,,,,,,,,,,,,,
20221221_132954,36,,,,,,,,,,,,,,
20221221_132954,43,,,,,,,,,,,,,,
20221221_132954,44,,,,,,,,,,,,,,
20221221_132954,42,,,,,,,,,,,,,,
20221221_132955,42,,,,,,,,,,,,,,
20221221_132955,35,,,,,,,,,,,,,,
20221221_132955,42,,,,,,,,,,,,,,
20221221_132955,36,,,,,,,,,,,,,,
20221221_132955,42,,,,,,,,,,,,,,
20221221_132955,35,,,,,,,,,,,,,,
20221221_132955,39,,,,,,,,,,,,,,
20221221_132955,36,,,,,,,,,,,,,,
20221221_132955,39,,,,,,,,,,,,,,
20221221_132955,45,,,,,,,,,,,,,,
