Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
20221221_133836,154,289,431,545,850,1163,,,145.4842105,286.8349515,424.6507937,566.2758621,874.3300971,1205.84
20221221_133836,147,294,433,546,858,1193,,,6.566943584,10.46665769,13.27332209,13.73449241,23.47939787,23.00049088
20221221_133836,153,268,405,554,879,1212,,,0.045138531,0.036490175,0.031257029,0.024254066,0.026854157,0.019074248
20221221_133836,151,293,437,557,855,1228,,,,,,,,
20221221_133837,136,283,427,559,850,1229,,,,,,,,
20221221_133837,149,275,433,566,880,1206,,,,,,,,
20221221_133837,144,294,418,531,882,1240,,,,,,,,
20221221_133837,158,291,418,567,855,1201,,,,,,,,
20221221_133837,144,281,418,560,862,1183,,,,,,,,
20221221_133837,143,315,414,564,876,1209,,,,,,,,
20221221_133837,150,288,437,573,881,1197,,,,,,,,
20221221_133837,148,302,432,567,874,1190,,,,,,,,
20221221_133837,144,279,425,576,864,1182,,,,,,,,
20221221_133837,144,273,433,591,859,1187,,,,,,,,
20221221_133837,143,283,415,581,835,1202,,,,,,,,
20221221_133837,144,285,435,571,844,1181,,,,,,,,
20221221_133837,158,279,389,564,856,1159,,,,,,,,
20221221_133837,146,280,412,573,889,1167,,,,,,,,
20221221_133837,141,288,427,546,890,1191,,,,,,,,
20221221_133837,153,287,410,553,893,1204,,,,,,,,
20221221_133837,152,287,413,566,872,1221,,,,,,,,
20221221_133837,150,286,430,566,896,1205,,,,,,,,
20221221_133838,147,276,418,587,822,1211,,,,,,,,
20221221_133838,131,286,427,570,900,1212,,,,,,,,
20221221_133838,127,291,404,582,870,1218,,,,,,,,
20221221_133838,131,290,434,563,868,1220,,,,,,,,
20221221_133838,139,273,451,559,910,1213,,,,,,,,
20221221_133838,151,290,427,564,879,1166,,,,,,,,
20221221_133838,143,268,393,575,904,1188,,,,,,,,
20221221_133838,152,276,417,561,872,1195,,,,,,,,
20221221_133838,143,282,424,564,864,1204,,,,,,,,
20221221_133838,141,285,421,570,881,1170,,,,,,,,
20221221_133838,148,298,444,550,875,1197,,,,,,,,
20221221_133838,154,280,440,586,875,1176,,,,,,,,
20221221_133838,144,302,431,542,910,1211,,,,,,,,
20221221_133838,146,288,461,580,878,1245,,,,,,,,
20221221_133838,144,312,428,561,897,1207,,,,,,,,
20221221_133838,139,294,454,555,855,1181,,,,,,,,
20221221_133838,139,310,427,554,865,1221,,,,,,,,
20221221_133839,146,286,423,557,852,1207,,,,,,,,
20221221_133839,151,265,431,560,859,1177,,,,,,,,
20221221_133839,144,289,425,550,882,1240,,,,,,,,
20221221_133839,134,301,452,570,881,1216,,,,,,,,
20221221_133839,135,300,423,550,862,1202,,,,,,,,
20221221_133839,150,294,410,577,909,1250,,,,,,,,
20221221_133839,144,294,395,571,896,1227,,,,,,,,
20221221_133839,152,293,416,573,883,1234,,,,,,,,
20221221_133839,154,273,397,580,889,1216,,,,,,,,
20221221_133839,150,307,402,569,869,1192,,,,,,,,
20221221_133839,146,287,410,571,864,1222,,,,,,,,
20221221_133839,141,274,412,567,816,1247,,,,,,,,
20221221_133839,147,296,436,575,856,1201,,,,,,,,
20221221_133839,139,293,427,578,882,1207,,,,,,,,
20221221_133839,143,280,421,576,860,1172,,,,,,,,
20221221_133839,143,278,420,576,882,1167,,,,,,,,
20221221_133839,135,276,402,611,875,1175,,,,,,,,
20221221_133839,149,288,424,581,882,1179,,,,,,,,
20221221_133840,145,301,432,570,857,1204,,,,,,,,
20221221_133840,155,290,441,554,862,1201,,,,,,,,
20221221_133840,146,283,411,566,845,1228,,,,,,,,
20221221_133840,137,287,429,552,841,1213,,,,,,,,
20221221_133840,132,291,432,565,866,1206,,,,,,,,
20221221_133840,150,283,440,570,891,1196,,,,,,,,
20221221_133840,154,260,425,560,904,1189,,,,,,,,
