Time,CameraA Max,,,,,
20221221_134125,793,,,MEAN,STD,RSD
20221221_134125,795,,1,768.76,21.72003683,0.028253339
20221221_134125,784,,2,768.2,21.81047844,0.028391667
20221221_134125,779,,3,767.98,21.64776798,0.028187932
20221221_134125,782,,4,767.85,21.58954807,0.028116882
20221221_134125,787,,5,767.58,21.61751067,0.028163202
20221221_134125,775,,6,767.41,21.56975764,0.028107215
20221221_134125,780,,7,767.03,21.5558729,0.028103038
20221221_134125,801,,8,767.05,21.56426852,0.02811325
20221221_134125,761,,9,767.08,21.58454367,0.028138582
20221221_134125,768,,10,767.32,22.09295331,0.02879236
20221221_134125,759,,11,767.7,22.30889663,0.029059394
20221221_134125,768,,12,767.72,22.31006477,0.029060158
20221221_134125,736,,13,767.77,22.29592299,0.029039847
20221221_134125,743,,14,767.59,22.36659441,0.029138726
20221221_134125,758,,15,767.71,22.22715375,0.028952539
20221221_134125,750,,16,767.89,22.09753174,0.028776949
20221221_134125,739,,17,768.12,22.11324389,0.028788788
20221221_134125,747,,18,768.43,22.07391394,0.028725992
20221221_134126,767,,19,768.67,21.88032417,0.028465173
20221221_134126,794,,20,769.04,21.82294224,0.028376862
20221221_134126,793,,21,769.27,21.92220174,0.028497409
20221221_134126,802,,22,769.09,21.79059894,0.028332964
20221221_134126,752,,23,769.26,22.04385894,0.028655928
20221221_134126,758,,24,769.37,22.23549578,0.028900913
20221221_134126,765,,25,769.63,22.18228204,0.028822008
20221221_134126,754,,26,769.98,22.2728625,0.028926547
20221221_134126,762,,27,770.12,22.28523994,0.02893736
20221221_134126,778,,28,770.35,22.23582286,0.028864572
20221221_134126,781,,29,770.54,22.24492679,0.028869269
20221221_134126,747,,30,770.39,22.24468839,0.028874581
20221221_134126,779,,31,770.31,22.22051786,0.028846202
20221221_134126,814,,32,770.97,22.49958698,0.029183479
20221221_134126,779,,33,770.97,22.49958698,0.029183479
20221221_134126,777,,34,770.13,22.44483923,0.029144221
20221221_134126,761,,35,770.09,22.43243278,0.029129625
20221221_134126,783,,36,769.69,22.66341109,0.029444856
20221221_134127,747,,37,769.67,22.67203813,0.02945683
20221221_134127,750,,38,769.65,22.66103985,0.029443305
20221221_134127,743,,39,769.64,22.67135424,0.029457089
20221221_134127,742,,40,769.83,22.58454598,0.029337056
20221221_134127,776,,41,769.78,22.64998495,0.029423972
20221221_134127,745,,42,770.02,22.47916207,0.029192959
20221221_134127,777,,43,769.95,22.47124987,0.029185337
20221221_134127,800,,44,769.86,22.58989673,0.029342863
20221221_134127,756,,45,769.76,22.58010208,0.029333951
20221221_134127,783,,46,769.62,22.43364176,0.029148985
20221221_134127,771,,47,769.46,22.58828694,0.029356025
20221221_134127,781,,48,769.25,22.55873367,0.029325621
20221221_134127,769,,49,769.03,22.64859128,0.029450855
20221221_134127,771,,50,768.67,22.74232249,0.029586588
20221221_134127,759,,51,768.61,22.74935675,0.029598049
20221221_134127,770,,52,768.54,22.7526977,0.029605092
20221221_134127,778,,53,768.85,22.83244856,0.029696883
20221221_134128,770,,54,768.92,22.84673573,0.02971276
20221221_134128,746,,55,768.76,22.8385285,0.029708269
20221221_134128,776,,56,768.39,23.11626084,0.030084021
20221221_134128,768,,57,768.64,23.00659545,0.029931562
20221221_134128,776,,58,768.61,22.99885592,0.02992266
20221221_134128,785,,59,768.93,23.2119157,0.030187294
20221221_134128,815,,60,768.92,23.20905431,0.030183965
20221221_134128,801,,61,769.46,24.19425593,0.031443163
20221221_134128,841,,62,768.91,23.76998149,0.030913867
20221221_134128,791,,63,768.59,23.54797167,0.030637885
20221221_134128,807,,64,767.78,22.39705067,0.029171183
20221221_134128,799,,65,767.39,22.32808396,0.029096136
20221221_134128,755,,66,767.32,22.21332751,0.028949236
20221221_134128,756,,67,767.02,21.98253669,0.028659666
20221221_134128,764,,68,767.16,21.94976818,0.028611721
20221221_134128,748,,69,767.15,21.95513101,0.028619085
20221221_134128,744,,70,767.03,22.00525878,0.028688915
20221221_134128,773,,71,766.98,22.05456044,0.028755066
20221221_134129,739,,72,767.11,21.95583032,0.028621489
20221221_134129,757,,73,767.08,21.94974977,0.028614681
20221221_134129,789,,74,767.16,21.86077156,0.028495713
20221221_134129,766,,75,767.25,21.83703415,0.028461433
20221221_134129,757,,76,767.34,21.94585624,0.028599912
20221221_134129,754,,77,767.41,21.95270168,0.028606223
20221221_134129,756,,78,767.64,21.96301758,0.028611091
20221221_134129,759,,79,767.56,22.02767772,0.028698314
20221221_134129,724,,80,767.71,21.99921716,0.028655634
20221221_134129,749,,81,767.83,21.98394961,0.028631272
20221221_134129,727,,82,768.49,21.64287505,0.028162858
20221221_134129,729,,83,768.99,21.76527445,0.028303716
20221221_134129,741,,84,769.55,21.39119757,0.027797021
20221221_134129,722,,85,770.16,21.09081853,0.027384983
20221221_134129,759,,86,770.53,20.89775736,0.027121277
20221221_134129,779,,87,771.15,20.35610995,0.026397082
20221221_134129,807,,88,771.73,20.82726215,0.026987758
20221221_134129,767,,89,772.08,21.24065094,0.027510946
20221221_134130,773,,90,771.97,21.08590175,0.027314406
20221221_134130,775,,91,772.38,21.38477699,0.02768686
20221221_134130,797,,92,772.65,21.56239478,0.027907066
20221221_134130,774,,93,772.75,21.59656492,0.027947674
20221221_134130,787,,94,772.37,21.49966173,0.027835962
20221221_134130,768,,95,772.48,21.53619457,0.027879291
20221221_134130,778,,96,772.47,21.5296155,0.027871135
20221221_134130,770,,97,772.11,21.90285946,0.028367538
20221221_134130,757,,98,771.88,21.96106748,0.028451401
20221221_134130,732,,99,771.73,22.02517155,0.028539997
20221221_134130,737,,100,771.61,22.13863345,0.028691481
20221221_134130,773,,101,771.77,21.90606899,0.028384193
20221221_134130,771,,102,772.18,21.63068341,0.028012489
20221221_134130,752,,103,771.81,21.93088086,0.02841487
20221221_134130,765,,104,771.66,21.98770088,0.028494027
20221221_134130,749,,105,771.84,21.89862779,0.028371978
20221221_134130,777,,106,771.64,22.05251766,0.028578764
20221221_134130,783,,107,771.67,22.02342876,0.028539957
20221221_134131,825,,108,771.34,22.18936864,0.028767299
20221221_134131,799,,109,771.13,22.17727247,0.028759447
20221221_134131,770,,110,770.91,21.7423364,0.028203469
20221221_134131,764,,111,771.08,22.0287599,0.028568709
20221221_134131,750,,112,771.35,22.18033299,0.028755212
20221221_134131,748,,113,771.64,22.27265389,0.028864048
20221221_134131,761,,114,772.2,22.42653551,0.029042393
20221221_134131,781,,115,772.34,22.31737105,0.028895786
20221221_134131,781,,116,772.47,22.28849184,0.028853537
20221221_134131,763,,117,772.41,22.27336816,0.028836199
20221221_134131,784,,118,772.19,22.29630354,0.028874116
20221221_134131,790,,119,772.32,22.28007218,0.028848239
