Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,,,,,,,,,,,,
20221101_201047,19,20,11,11,0,0,#DIV/0!,,,,0,0,#DIV/0!,,,
20221101_201059,23,21,10,11,1,0,0,,,,2.127659574,0,0,,,
20221101_201108,24,21,14,12,1,1,1,1,,,2.127659574,1.428571429,0.671428571,,,
20221101_201113,31,22,27,12,2,1,0.5,-0.5,,,4.255319149,1.428571429,0.335714286,,,
20221101_201113,31,22,35,14,2,3,1.5,1,,,4.255319149,4.285714286,1.007142857,,,
20221101_201114,41,23,47,15,3,4,1.333333333,-0.166666667,,,6.382978723,5.714285714,0.895238095,,,
20221101_201114,54,23,61,16,3,5,1.666666667,0.333333333,,,6.382978723,7.142857143,1.119047619,,,
20221101_201114,54,24,59,16,4,5,1.25,-0.416666667,,,8.510638298,7.142857143,0.839285714,,,
20221101_201114,65,25,68,17,5,6,1.2,-0.05,,,10.63829787,8.571428571,0.805714286,,,
20221101_201114,59,25,76,18,5,7,1.4,0.2,,,10.63829787,10,0.94,,,
20221101_201115,65,27,69,20,7,9,1.285714286,-0.114285714,,,14.89361702,12.85714286,0.863265306,,,
20221101_201115,66,27,70,21,7,10,1.428571429,0.142857143,,,14.89361702,14.28571429,0.959183673,,,
20221101_201115,63,28,72,22,8,11,1.375,-0.053571429,,,17.0212766,15.71428571,0.923214286,,,
20221101_201115,70,29,89,24,9,13,1.444444444,0.069444444,,,19.14893617,18.57142857,0.96984127,,,
20221101_201116,87,31,94,27,11,16,1.454545455,0.01010101,0.01010101,0.005114969,23.40425532,22.85714286,0.976623377,0.006782107,0.006782107,0.003434336
20221101_201116,82,32,110,28,12,17,1.416666667,-0.037878788,0.037878788,,25.53191489,24.28571429,0.951190476,-0.0254329,0.0254329,
20221101_201116,86,33,105,29,13,18,1.384615385,-0.032051282,0.032051282,,27.65957447,25.71428571,0.92967033,-0.021520147,0.021520147,
20221101_201116,90,34,110,30,14,19,1.357142857,-0.027472527,0.027472527,,29.78723404,27.14285714,0.91122449,-0.01844584,0.01844584,
20221101_201116,102,37,124,36,17,25,1.470588235,0.113445378,0.113445378,,36.17021277,35.71428571,0.987394958,0.076170468,0.076170468,
20221101_201117,96,39,120,38,19,27,1.421052632,-0.049535604,0.049535604,,40.42553191,38.57142857,0.954135338,-0.03325962,0.03325962,
20221101_201117,106,40,138,40,20,29,1.45,0.028947368,0.028947368,,42.55319149,41.42857143,0.973571429,0.01943609,0.01943609,
20221101_201117,114,41,141,42,21,31,1.476190476,0.026190476,0.026190476,,44.68085106,44.28571429,0.991156463,0.017585034,0.017585034,
20221101_201117,127,43,157,44,23,33,1.434782609,-0.041407867,0.041407867,,48.93617021,47.14285714,0.963354037,-0.027802425,0.027802425,
20221101_201117,128,44,164,46,24,35,1.458333333,0.023550725,0.023550725,,51.06382979,50,0.979166667,0.015812629,0.015812629,
20221101_201117,131,45,157,47,25,36,1.44,-0.018333333,0.018333333,,53.19148936,51.42857143,0.966857143,-0.012309524,0.012309524,
20221101_201117,130,46,159,49,26,38,1.461538462,0.021538462,0.021538462,,55.31914894,54.28571429,0.981318681,0.014461538,0.014461538,
20221101_201117,128,48,170,50,28,39,1.392857143,-0.068681319,0.068681319,,59.57446809,55.71428571,0.935204082,-0.0461146,0.0461146,
20221101_201118,133,49,166,52,29,41,1.413793103,0.020935961,0.020935961,,61.70212766,58.57142857,0.949261084,0.014057002,0.014057002,
20221101_201118,131,51,168,55,31,44,1.419354839,0.005561735,0.005561735,,65.95744681,62.85714286,0.952995392,0.003734308,0.003734308,
20221101_201118,147,52,185,57,32,46,1.4375,0.018145161,0.018145161,,68.08510638,65.71428571,0.965178571,0.01218318,0.01218318,
20221101_201118,144,53,193,58,33,47,1.424242424,-0.013257576,0.013257576,,70.21276596,67.14285714,0.956277056,-0.008901515,0.008901515,
20221101_201118,135,54,187,60,34,49,1.441176471,0.016934046,0.016934046,,72.34042553,70,0.967647059,0.011370003,0.011370003,
20221101_201118,145,57,199,64,37,53,1.432432432,-0.008744038,0.008744038,,78.72340426,75.71428571,0.961776062,-0.005870997,0.005870997,
20221101_201118,144,58,186,66,38,55,1.447368421,0.014935989,0.014935989,,80.85106383,78.57142857,0.971804511,0.01002845,0.01002845,
20221101_201118,152,59,195,67,39,56,1.435897436,-0.011470985,0.011470985,,82.9787234,80,0.964102564,-0.007701947,0.007701947,
20221101_201119,155,61,196,69,41,58,1.414634146,-0.02126329,0.02126329,,87.23404255,82.85714286,0.949825784,-0.01427678,0.01427678,
20221101_201119,160,63,202,73,43,62,1.441860465,0.027226319,0.027226319,,91.4893617,88.57142857,0.968106312,0.018280528,0.018280528,
20221101_201119,161,65,211,75,45,64,1.422222222,-0.019638243,0.019638243,,95.74468085,91.42857143,0.954920635,-0.013185677,0.013185677,
20221101_201119,160,72,207,85,52,74,1.423076923,0.000854701,0.000854701,,110.6382979,105.7142857,0.955494505,0.000573871,0.000573871,
20221101_201119,158,73,224,87,53,76,1.433962264,0.010885341,0.010885341,,112.7659574,108.5714286,0.962803235,0.007308729,0.007308729,
20221101_201119,171,75,220,89,55,78,1.418181818,-0.015780446,0.015780446,,117.0212766,111.4285714,0.952207792,-0.010595442,0.010595442,
