Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean
20221109_150757,11,11,12,12
20221109_150758,11,11,12,12
20221109_150759,10,10,10,11
20221109_150800,12,11,11,11
20221109_150801,9,10,12,11
20221109_150803,9,10,12,11
20221109_150804,10,10,11,11
20221109_150805,10,10,10,11
20221109_150806,10,10,11,11
20221109_150807,11,10,10,11
20221109_150808,10,10,11,11
20221109_150809,11,10,12,11
20221109_150810,11,10,11,11
20221109_150811,10,10,9,11
20221109_150812,11,10,11,11
20221109_150813,12,10,11,11
20221109_150814,9,10,11,11
20221109_150816,11,10,10,10
20221109_150817,10,10,11,10
20221109_150818,12,10,9,10
20221109_150819,12,10,11,10
20221109_150820,11,10,10,10
20221109_150821,10,10,11,10
20221109_150822,10,10,10,10
20221109_150823,12,10,9,10
20221109_150824,11,10,10,10
20221109_150825,11,10,10,10
20221109_150826,10,10,11,10
20221109_150828,39,11,17,10
20221109_150829,41,12,16,11
20221109_150830,10,12,10,11
20221109_150831,11,12,11,11
20221109_150833,13,12,11,11
20221109_150834,12,12,10,11
20221109_150835,10,12,9,10
20221109_150836,12,12,10,10
20221109_150837,13,12,10,10
20221109_150838,10,12,11,10
20221109_150839,10,12,12,10
20221109_150840,11,12,11,10
20221109_150841,11,12,11,10
20221109_150842,12,12,12,10
20221109_150843,11,12,10,10
20221109_150844,14,12,11,10
20221109_150845,11,12,12,10
20221109_150846,10,12,11,10
20221109_150848,11,12,9,10
20221109_150849,10,12,12,10
20221109_150850,11,12,11,10
20221109_150851,12,12,10,10
20221109_150852,11,12,11,10
20221109_150853,10,11,12,10
20221109_150854,12,11,11,10
20221109_150855,11,11,11,10
20221109_150856,13,11,11,10
20221109_150857,14,12,10,10
20221109_150858,12,12,10,10
20221109_150859,294,16,74,12
20221109_150901,185,19,67,12
20221109_150902,128,21,49,13
20221109_150903,127,23,50,14
20221109_150904,112,24,44,14
20221109_150905,113,26,49,15
20221109_150906,66,26,42,15
20221109_150907,819,38,350,20
20221109_150909,175,40,64,21
20221109_150910,147,42,57,21
20221109_150911,141,44,53,22
20221109_150912,131,45,52,22
20221109_150913,119,46,45,23
20221109_150915,144,47,56,23
20221109_150916,192,49,67,24
20221109_150917,164,51,56,24
20221109_150918,159,52,55,25
20221109_150919,166,54,63,25
20221109_150920,152,55,56,25
20221109_150922,230,57,70,26
20221109_150923,122,58,53,26
20221109_150924,110,59,42,27
20221109_150925,15,58,10,26
20221109_150926,13,58,10,26
20221109_150927,14,57,10,26
20221109_150928,15,57,10,26
20221109_150929,14,56,9,26
20221109_150930,12,56,12,25
20221109_150931,13,55,10,25
20221109_150933,14,55,10,25
20221109_150934,11,54,10,25
20221109_150935,12,54,10,25
20221109_150936,11,53,10,24
20221109_150937,14,53,12,24
20221109_150938,10,52,11,24
20221109_150939,14,52,10,24
20221109_150940,12,51,12,24
20221109_150941,11,51,11,24
20221109_150942,13,51,11,24
20221109_150944,12,50,9,23
20221109_150945,15,50,12,23
20221109_150946,11,49,11,23
20221109_150947,13,49,10,23
20221109_150948,12,49,10,23
20221109_150949,15,49,10,23
20221109_150950,11,49,10,23
20221109_150951,15,49,11,23
20221109_150952,14,49,10,23
20221109_150953,13,49,10,23
20221109_150955,12,49,11,23
20221109_150956,14,49,11,23
20221109_150957,12,49,11,23
20221109_150958,15,49,10,23
20221109_150959,12,49,12,23
20221109_151000,14,49,12,23
20221109_151001,16,49,10,23
20221109_151002,12,49,11,23
20221109_151003,12,49,11,23
20221109_151005,13,49,11,23
