Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean
20221022_110235,52,48,884,908
20221022_110235,52,48,920,908
20221022_110235,52,48,927,909
20221022_110235,43,48,906,908
20221022_110235,49,48,921,908
20221022_110235,47,48,898,908
20221022_110235,51,48,911,908
20221022_110235,48,48,893,907
20221022_110235,50,48,907,908
20221022_110236,51,48,883,907
20221022_110236,54,48,946,908
20221022_110236,48,48,909,908
20221022_110236,46,48,898,908
20221022_110236,50,48,907,908
20221022_110236,56,48,898,907
20221022_110236,45,48,925,907
20221022_110236,50,48,919,907
20221022_110236,55,48,920,907
20221022_110236,46,48,929,908
20221022_110236,49,48,926,908
20221022_110237,50,48,909,908
20221022_110237,54,48,906,908
20221022_110237,46,48,888,908
20221022_110237,46,48,907,908
20221022_110237,49,48,933,908
20221022_110237,51,48,903,908
20221022_110237,45,48,901,908
20221022_110237,51,48,918,908
20221022_110237,48,48,923,908
20221022_110237,49,48,888,908
20221022_110237,48,48,916,908
20221022_110238,46,48,913,908
20221022_110238,51,49,928,909
20221022_110238,48,48,937,909
20221022_110238,49,49,923,909
20221022_110238,48,48,922,909
20221022_110238,50,49,900,909
20221022_110238,55,49,927,910
20221022_110238,53,49,927,910
20221022_110238,50,49,889,910
20221022_110238,51,49,892,910
20221022_110238,44,49,890,910
20221022_110239,53,49,938,910
20221022_110239,42,49,905,910
20221022_110239,46,49,911,911
20221022_110239,57,49,923,911
20221022_110239,42,49,893,910
20221022_110239,53,49,908,911
20221022_110239,54,49,936,912
20221022_110239,46,49,912,911
20221022_110239,42,49,937,912
20221022_110239,49,49,917,913
20221022_110240,49,49,896,912
20221022_110240,45,48,910,912
20221022_110240,52,49,908,912
20221022_110240,48,49,909,912
20221022_110240,53,49,919,912
20221022_110240,50,49,909,912
20221022_110240,50,49,891,912
20221022_110240,49,49,912,912
20221022_110240,50,49,921,913
20221022_110240,52,49,927,912
20221022_110240,55,49,923,913
20221022_110241,53,49,903,913
20221022_110241,51,49,928,913
20221022_110241,49,49,902,913
20221022_110241,48,49,912,913
20221022_110241,50,49,917,913
20221022_110241,52,49,918,913
20221022_110241,49,49,918,913
20221022_110241,51,49,925,913
20221022_110241,41,49,906,913
20221022_110241,48,49,918,913
20221022_110241,50,49,908,913
20221022_110242,53,49,899,913
20221022_110242,47,49,905,912
20221022_110242,48,49,900,912
20221022_110242,53,49,898,912
20221022_110242,48,49,910,912
20221022_110242,47,49,937,912
20221022_110242,51,49,895,913
20221022_110242,52,49,923,913
20221022_110242,53,49,916,913
20221022_110242,47,49,923,913
20221022_110242,52,49,946,913
20221022_110243,50,49,897,912
20221022_110243,49,49,917,912
20221022_110243,55,49,925,913
20221022_110243,50,49,929,913
20221022_110243,48,49,908,912
20221022_110243,48,49,916,913
20221022_110243,54,49,906,913
20221022_110243,43,49,902,913
20221022_110243,50,49,903,913
20221022_110243,52,49,906,913
20221022_110244,53,49,930,913
20221022_110244,51,49,920,913
20221022_110244,49,49,899,913
20221022_110244,49,49,920,913
20221022_110244,52,49,942,914
20221022_110244,50,49,907,913
20221022_110244,52,50,904,913
20221022_110244,49,50,905,913
20221022_110244,53,50,918,913
20221022_110244,47,50,905,913
20221022_110244,48,50,895,913
20221022_110245,46,50,909,913
20221022_110245,48,49,935,913
20221022_110245,47,49,908,913
20221022_110245,50,49,917,913
20221022_110245,53,49,910,913
20221022_110245,50,49,925,914
20221022_110245,50,49,912,913
20221022_110245,51,49,922,913
20221022_110245,47,49,904,913
20221022_110245,52,49,913,913
20221022_110245,47,49,925,913
20221022_110246,43,49,907,913
20221022_110246,50,49,898,913
20221022_110246,54,49,913,913
20221022_110246,51,49,943,913
20221022_110246,54,49,903,913
20221022_110246,45,49,913,913
20221022_110246,49,49,924,913
20221022_110246,48,49,903,913
20221022_110246,48,49,906,913
20221022_110246,48,49,948,914
20221022_110246,49,49,919,914
20221022_110247,54,49,900,914
20221022_110247,45,49,924,915
20221022_110247,49,49,909,914
20221022_110247,54,49,909,914
20221022_110247,49,49,911,914
20221022_110247,51,49,895,914
20221022_110247,52,49,922,914
20221022_110247,48,49,886,913
20221022_110247,56,49,884,912
20221022_110247,46,49,911,912
20221022_110247,54,49,944,913
20221022_110248,46,49,927,913
20221022_110248,49,49,928,913
20221022_110248,56,49,887,912
20221022_110248,50,49,912,912
20221022_110248,52,49,890,912
20221022_110248,48,49,932,913
20221022_110248,53,49,900,913
20221022_110248,52,49,909,912
20221022_110248,54,49,930,912
20221022_110248,50,49,908,913
20221022_110248,54,50,911,912
20221022_110249,54,50,916,912
20221022_110249,48,50,898,912
20221022_110249,54,50,910,912
20221022_110249,50,50,902,912
20221022_110249,46,49,900,912
20221022_110249,56,50,897,911
20221022_110249,52,50,931,912
20221022_110249,49,50,913,912
20221022_110249,46,50,910,912
20221022_110249,49,50,943,912
20221022_110250,52,50,936,913
20221022_110250,59,50,916,913
20221022_110250,48,50,888,912
20221022_110250,51,50,941,913
20221022_110250,50,50,926,913
20221022_110250,51,50,893,913
20221022_110250,50,50,922,913
20221022_110250,55,50,902,912
20221022_110250,50,50,900,912
20221022_110250,51,50,920,913
20221022_110250,53,50,904,912
20221022_110251,52,50,950,913
20221022_110251,52,50,926,913
20221022_110251,48,50,886,912
20221022_110251,53,50,902,912
20221022_110251,53,50,928,912
20221022_110251,53,51,905,912
20221022_110251,47,51,917,912
20221022_110251,58,51,898,911
20221022_110251,51,51,919,912
20221022_110251,44,51,923,912
20221022_110251,52,51,916,912
20221022_110252,47,51,923,912
20221022_110252,48,51,892,912
20221022_110252,49,51,905,912
20221022_110252,45,50,919,912
20221022_110252,46,50,899,912
20221022_110252,52,50,935,913
20221022_110252,51,50,891,913
20221022_110252,48,50,902,912
20221022_110252,54,50,907,912
20221022_110252,50,50,896,911
20221022_110252,51,50,909,911
20221022_110253,51,50,944,912
20221022_110253,51,50,897,912
20221022_110253,55,50,910,912
20221022_110253,49,50,900,912
20221022_110253,48,50,896,912
20221022_110253,52,50,943,912
20221022_110253,48,50,911,912
20221022_110253,49,50,912,912
20221022_110253,64,50,906,912
20221022_110253,52,50,919,912
20221022_110253,46,50,926,912
20221022_110254,51,50,903,912
20221022_110254,46,50,895,912
20221022_110254,57,50,910,913
20221022_110254,52,50,900,912
20221022_110254,50,50,909,912
20221022_110254,50,50,928,912
20221022_110254,53,50,910,912
20221022_110254,53,50,900,911
20221022_110254,49,50,940,911
20221022_110254,47,50,929,912
20221022_110254,50,50,920,912
20221022_110255,51,50,910,911
20221022_110255,47,50,941,912
20221022_110255,54,50,910,912
20221022_110255,51,50,906,912
20221022_110255,51,50,918,913
20221022_110255,46,50,923,913
20221022_110255,53,50,921,913
20221022_110255,53,50,903,912
20221022_110255,51,50,910,912
20221022_110255,53,50,921,912
20221022_110255,50,50,923,913
20221022_110256,52,50,925,913
20221022_110256,50,50,942,913
20221022_110256,49,50,923,914
20221022_110256,55,50,909,914
20221022_110256,46,50,885,913
20221022_110256,52,50,889,912
20221022_110256,48,50,924,913
20221022_110256,61,50,904,912
20221022_110256,48,50,915,913
20221022_110256,48,50,933,913
20221022_110257,54,50,930,913
20221022_110257,46,50,916,914
20221022_110257,52,50,888,913
20221022_110257,45,50,923,914
20221022_110257,51,50,906,914
20221022_110257,50,50,944,914
20221022_110257,50,50,900,914
20221022_110257,52,50,886,914
20221022_110257,59,50,904,913
20221022_110257,52,51,917,914
20221022_110257,51,50,931,914
20221022_110258,57,51,936,915
20221022_110258,50,51,926,915
20221022_110258,54,51,924,915
20221022_110258,52,51,922,915
20221022_110258,59,51,927,915
20221022_110258,56,51,919,916
20221022_110258,50,51,913,916
20221022_110258,49,51,902,915
20221022_110258,46,51,908,915
20221022_110258,53,51,913,916
20221022_110258,49,51,905,915
20221022_110259,53,51,895,915
20221022_110259,58,51,883,915
20221022_110259,51,51,905,914
20221022_110259,49,51,930,915
20221022_110259,53,51,910,915
20221022_110259,52,51,896,914
20221022_110259,54,51,927,914
20221022_110259,49,51,910,914
20221022_110259,55,51,927,914
20221022_110259,49,51,931,914
20221022_110259,54,51,896,914
20221022_110300,52,51,919,914
20221022_110300,52,51,915,914
20221022_110300,54,51,912,914
20221022_110300,46,51,929,914
20221022_110300,51,51,920,914
20221022_110300,51,51,927,915
20221022_110300,46,51,917,914
20221022_110300,46,51,941,915
20221022_110300,49,51,932,915
20221022_110300,50,51,896,914
20221022_110301,53,51,911,914
20221022_110301,49,51,910,914
20221022_110301,55,51,904,914
20221022_110301,55,51,892,914
20221022_110301,49,51,908,914
20221022_110301,54,51,912,914
20221022_110301,58,51,946,915
20221022_110301,58,51,891,914
20221022_110301,47,51,907,913
20221022_110301,53,51,904,913
20221022_110301,54,51,928,914
20221022_110302,51,51,906,914
20221022_110302,52,51,913,914
20221022_110302,50,51,897,913
20221022_110302,56,52,898,913
20221022_110302,51,52,889,913
20221022_110302,51,51,886,913
20221022_110302,47,51,907,912
20221022_110302,49,51,928,912
20221022_110302,51,51,900,912
20221022_110302,55,51,919,911
20221022_110302,49,51,932,912
20221022_110303,54,51,910,911
20221022_110303,53,51,911,911
20221022_110303,53,51,902,911
20221022_110303,51,51,917,911
20221022_110303,54,51,917,911
20221022_110303,50,51,915,911
20221022_110303,49,51,913,911
20221022_110303,49,51,911,911
20221022_110303,54,51,895,911
20221022_110303,49,51,922,912
20221022_110303,48,51,908,912
20221022_110304,51,51,897,911
20221022_110304,53,51,910,911
20221022_110304,47,51,921,912
20221022_110304,53,51,886,911
20221022_110304,49,51,926,911
20221022_110304,48,51,932,912
20221022_110304,54,51,899,911
20221022_110304,50,51,907,911
20221022_110304,51,51,917,911
20221022_110304,50,51,881,910
20221022_110304,56,51,904,910
20221022_110305,49,51,923,910
20221022_110305,58,51,910,910
20221022_110305,50,51,922,910
20221022_110305,47,51,904,910
20221022_110305,52,51,916,909
20221022_110305,46,51,926,909
20221022_110305,52,51,901,909
20221022_110305,51,51,917,909
20221022_110305,54,51,917,909
20221022_110305,59,51,899,909
20221022_110305,50,51,943,910
20221022_110306,52,51,926,911
20221022_110306,50,51,897,910
20221022_110306,47,51,902,909
20221022_110306,49,51,928,910
20221022_110306,49,51,909,910
20221022_110306,51,51,908,910
20221022_110306,54,51,906,910
20221022_110306,47,51,931,910
20221022_110306,56,51,932,911
20221022_110306,52,51,928,911
20221022_110306,53,51,925,912
20221022_110307,57,51,905,912
20221022_110307,49,51,913,913
20221022_110307,47,51,900,913
20221022_110307,56,51,912,912
20221022_110307,52,51,900,912
20221022_110307,53,51,913,912
20221022_110307,52,51,899,912
20221022_110307,55,51,907,911
20221022_110307,56,51,940,912
20221022_110307,51,51,925,912
20221022_110307,56,51,897,912
20221022_110308,52,51,937,912
20221022_110308,50,51,913,912
20221022_110308,50,51,918,913
20221022_110308,49,51,907,912
20221022_110308,51,51,930,913
20221022_110308,52,51,885,912
20221022_110308,52,51,911,912
20221022_110308,50,51,897,912
20221022_110308,51,51,904,912
20221022_110308,52,51,897,912
20221022_110308,52,51,907,912
20221022_110309,52,51,930,912
20221022_110309,52,51,910,912
20221022_110309,53,51,906,912
20221022_110309,58,51,904,912
20221022_110309,52,51,917,912
20221022_110309,55,51,915,913
20221022_110309,54,51,910,913
20221022_110309,51,51,910,913
20221022_110309,56,51,907,913
20221022_110309,56,52,922,913
20221022_110310,49,52,902,912
20221022_110310,47,52,925,913
20221022_110310,51,52,920,913
20221022_110310,49,52,925,913
20221022_110310,50,52,918,913
20221022_110310,50,51,917,913
20221022_110310,54,51,919,913
20221022_110310,61,52,908,913
20221022_110310,50,52,906,912
20221022_110310,52,52,901,912
20221022_110310,55,52,884,912
20221022_110311,52,52,928,912
20221022_110311,52,52,919,912
20221022_110311,50,52,886,912
20221022_110311,48,52,898,912
20221022_110311,50,52,937,912
20221022_110311,51,52,913,911
20221022_110311,50,52,930,911
20221022_110311,53,52,897,911
20221022_110311,47,51,889,911
20221022_110311,52,51,929,911
20221022_110311,54,52,911,911
20221022_110312,55,52,917,911
20221022_110312,56,52,921,912
20221022_110312,51,52,897,911
20221022_110312,57,52,885,911
20221022_110312,52,52,874,910
20221022_110312,50,52,913,910
20221022_110312,59,52,888,909
20221022_110312,53,52,896,909
20221022_110312,53,52,888,908
20221022_110312,53,52,900,908
20221022_110312,48,52,918,908
20221022_110313,51,52,905,908
20221022_110313,56,52,907,907
20221022_110313,52,52,899,908
20221022_110313,48,52,908,908
20221022_110313,53,52,901,908
20221022_110313,54,52,913,908
20221022_110313,47,52,900,908
20221022_110313,53,52,907,908
20221022_110313,50,52,925,908
20221022_110313,46,52,911,908
20221022_110313,53,52,922,908
20221022_110314,51,52,907,908
20221022_110314,55,52,910,908
20221022_110314,47,51,923,908
20221022_110314,52,51,899,908
20221022_110314,46,51,922,908
20221022_110314,52,51,901,908
20221022_110314,55,51,899,908
20221022_110314,54,51,929,908
20221022_110314,54,51,908,908
20221022_110314,50,51,923,908
20221022_110315,49,51,890,907
20221022_110315,55,51,942,908
20221022_110315,51,52,905,908
20221022_110315,50,51,916,907
20221022_110315,51,51,919,908
20221022_110315,59,51,907,908
20221022_110315,49,51,930,908
20221022_110315,51,51,916,909
20221022_110315,55,51,919,909
20221022_110315,57,51,926,909
20221022_110315,53,51,901,909
20221022_110316,52,52,881,909
20221022_110316,51,52,912,908
20221022_110316,50,52,879,908
20221022_110316,48,52,891,907
20221022_110316,58,52,908,907
