Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,CameraA Max1,CameraA Max2,CameraA Max3,CameraA Max4,CameraB Max1,CameraB Max2,CameraB Max3,CameraB Max4
20221022_133854,4095,4095,146,146,"4095: ([673],[578])","4027: ([672],[578])","3870: ([672],[579])","3833: ([673],[579])","146: ([217],[57])","84: ([891],[1053])","79: ([295],[1589])","71: ([562],[1240])"
20221022_133854,4034,4064,141,143,"4034: ([673],[578])","4000: ([672],[578])","3855: ([672],[579])","3807: ([673],[579])","141: ([217],[57])","90: ([891],[1053])","82: ([295],[1589])","75: ([562],[1240])"
20221022_133854,4020,4049,158,148,"4020: ([672],[578])","4011: ([673],[578])","3805: ([672],[579])","3792: ([673],[579])","158: ([217],[57])","93: ([891],[1053])","82: ([295],[1589])","76: ([562],[1240])"
20221022_133855,4021,4042,152,149,"4021: ([673],[578])","3997: ([672],[578])","3877: ([673],[579])","3826: ([672],[579])","152: ([217],[57])","98: ([891],[1053])","83: ([295],[1589])","78: ([562],[1240])"
20221022_133855,4013,4036,160,151,"4013: ([673],[578])","3968: ([672],[578])","3830: ([672],[579])","3772: ([673],[579])","160: ([217],[57])","85: ([891],[1053])","79: ([295],[1589])","72: ([562],[1240])"
20221022_133855,4045,4038,158,152,"4045: ([673],[578])","4021: ([672],[578])","3824: ([672],[579])","3780: ([673],[579])","158: ([217],[57])","90: ([891],[1053])","87: ([295],[1589])","72: ([562],[1240])"
20221022_133855,4007,4033,143,151,"4007: ([673],[578])","3964: ([672],[578])","3841: ([672],[579])","3817: ([673],[579])","143: ([217],[57])","93: ([891],[1053])","80: ([295],[1589])","75: ([562],[1240])"
20221022_133855,4006,4030,140,149,"4006: ([672],[578])","3958: ([673],[578])","3807: ([673],[579])","3787: ([672],[579])","140: ([217],[57])","92: ([891],[1053])","78: ([295],[1589])","77: ([562],[1240])"
20221022_133856,3998,4026,146,149,"3998: ([673],[578])","3946: ([672],[578])","3810: ([673],[579])","3780: ([672],[579])","146: ([217],[57])","91: ([891],[1053])","80: ([295],[1589])","78: ([562],[1240])"
20221022_133856,4019,4025,158,150,"4019: ([673],[578])","4001: ([672],[578])","3854: ([672],[579])","3784: ([673],[579])","158: ([217],[57])","96: ([891],[1053])","82: ([295 562],[1589 1240])","82: ([295 562],[1589 1240])"
20221022_133856,3979,4021,141,149,"3979: ([673],[578])","3964: ([672],[578])","3806: ([672],[579])","3741: ([673],[579])","141: ([217],[57])","92: ([891],[1053])","84: ([295],[1589])","72: ([562],[1240])"
20221022_133856,3975,4017,155,149,"3975: ([673],[578])","3957: ([672],[578])","3750: ([672],[579])","3748: ([673],[579])","155: ([217],[57])","98: ([891],[1053])","85: ([295],[1589])","84: ([562],[1240])"
20221022_133857,4016,4017,157,150,"4016: ([673],[578])","4004: ([672],[578])","3850: ([673],[579])","3768: ([672],[579])","157: ([217],[57])","90: ([891],[1053])","80: ([295 562],[1589 1240])","80: ([295 562],[1589 1240])"
20221022_133857,3957,4013,152,150,"3957: ([672],[578])","3929: ([673],[578])","3744: ([672],[579])","3675: ([673],[579])","152: ([217],[57])","85: ([891],[1053])","84: ([295],[1589])","74: ([562],[1240])"
20221022_133857,3897,4005,149,150,"3897: ([672],[578])","3895: ([673],[578])","3738: ([672],[579])","3686: ([673],[579])","149: ([217],[57])","87: ([295 891],[1589 1053])","87: ([295 891],[1589 1053])","74: ([562],[1240])"
20221022_133857,3949,4001,154,150,"3949: ([673],[578])","3834: ([672],[578])","3761: ([672],[579])","3672: ([673],[579])","154: ([217],[57])","82: ([891],[1053])","78: ([295],[1589])","75: ([562],[1240])"
20221022_133857,3888,3995,155,150,"3888: ([672],[578])","3870: ([673],[578])","3659: ([672],[579])","3641: ([673],[579])","155: ([217],[57])","98: ([891],[1053])","82: ([295],[1589])","77: ([562],[1240])"
20221022_133858,3834,3986,151,150,"3834: ([673],[578])","3788: ([672],[578])","3666: ([672],[579])","3630: ([673],[579])","151: ([217],[57])","94: ([891],[1053])","87: ([295],[1589])","84: ([562],[1240])"
20221022_133858,3830,3978,147,150,"3830: ([672],[578])","3809: ([673],[578])","3654: ([673],[579])","3639: ([672],[579])","147: ([217],[57])","86: ([891],[1053])","76: ([295 562],[1589 1240])","76: ([295 562],[1589 1240])"
20221022_133858,3889,3973,152,150,"3889: ([672],[578])","3863: ([673],[578])","3703: ([673],[579])","3684: ([672],[579])","152: ([217],[57])","97: ([891],[1053])","92: ([295],[1589])","70: ([562],[1240])"
20221022_133858,3932,3971,148,150,"3932: ([672],[578])","3817: ([673],[578])","3652: ([673],[579])","3633: ([672],[579])","148: ([217],[57])","89: ([295 891],[1589 1053])","89: ([295 891],[1589 1053])","79: ([562],[1240])"
20221022_133859,3836,3965,145,150,"3836: ([673],[578])","3810: ([672],[578])","3664: ([673],[579])","3616: ([672],[579])","145: ([217],[57])","107: ([891],[1053])","86: ([295],[1589])","73: ([562],[1240])"
20221022_133859,3816,3958,155,150,"3816: ([673],[578])","3804: ([672],[578])","3639: ([672],[579])","3591: ([673],[579])","155: ([217],[57])","90: ([891],[1053])","86: ([295],[1589])","77: ([562],[1240])"
20221022_133859,3825,3953,154,150,"3825: ([673],[578])","3777: ([672],[578])","3609: ([673],[579])","3543: ([672],[579])","154: ([217],[57])","92: ([891],[1053])","91: ([295],[1589])","74: ([562],[1240])"
20221022_133859,3819,3948,151,150,"3819: ([673],[578])","3744: ([672],[578])","3603: ([672],[579])","3574: ([673],[579])","151: ([217],[57])","92: ([891],[1053])","84: ([295],[1589])","74: ([562],[1240])"
20221022_133859,3849,3944,146,150,"3849: ([673],[578])","3736: ([672],[578])","3547: ([672],[579])","3543: ([673],[579])","146: ([217],[57])","95: ([891],[1053])","80: ([295],[1589])","70: ([562],[1240])"
20221022_133900,3768,3937,145,150,"3768: ([672],[578])","3733: ([673],[578])","3598: ([672],[579])","3557: ([673],[579])","145: ([217],[57])","89: ([891],[1053])","86: ([295],[1589])","78: ([562],[1240])"
20221022_133900,3867,3935,146,150,"3867: ([673],[578])","3714: ([672],[578])","3555: ([673],[579])","3538: ([672],[579])","146: ([217],[57])","96: ([295],[1589])","92: ([891],[1053])","77: ([562],[1240])"
20221022_133900,3790,3930,153,150,"3790: ([672],[578])","3737: ([673],[578])","3616: ([673],[579])","3589: ([672],[579])","153: ([217],[57])","91: ([891],[1053])","85: ([295],[1589])","74: ([562],[1240])"
20221022_133900,3898,3929,160,150,"3898: ([673],[578])","3824: ([672],[578])","3650: ([672 673],[579 579])","3650: ([672 673],[579 579])","160: ([217],[57])","95: ([891],[1053])","79: ([295],[1589])","72: ([562],[1240])"
20221022_133901,3852,3926,158,150,"3852: ([673],[578])","3744: ([672],[578])","3607: ([672],[579])","3565: ([673],[579])","158: ([217],[57])","95: ([891],[1053])","84: ([295],[1589])","73: ([562],[1240])"
20221022_133901,3758,3921,154,150,"3758: ([673],[578])","3740: ([672],[578])","3598: ([672],[579])","3550: ([673],[579])","154: ([217],[57])","94: ([891],[1053])","84: ([295],[1589])","75: ([562],[1240])"
20221022_133901,3785,3917,154,151,"3785: ([673],[578])","3721: ([672],[578])","3632: ([673],[579])","3621: ([672],[579])","154: ([217],[57])","93: ([891],[1053])","84: ([295],[1589])","78: ([562],[1240])"
20221022_133901,3815,3914,145,150,"3815: ([673],[578])","3730: ([672],[578])","3636: ([672],[579])","3597: ([673],[579])","145: ([217],[57])","100: ([891],[1053])","84: ([295],[1589])","71: ([562],[1240])"
20221022_133902,3769,3910,159,151,"3769: ([673],[578])","3733: ([672],[578])","3589: ([673],[579])","3551: ([672],[579])","159: ([217],[57])","93: ([891],[1053])","80: ([295],[1589])","74: ([562],[1240])"
20221022_133902,3775,3906,145,150,"3775: ([673],[578])","3715: ([672],[578])","3630: ([672],[579])","3547: ([673],[579])","145: ([217],[57])","96: ([891],[1053])","83: ([295],[1589])","66: ([562],[1240])"
20221022_133902,3855,3904,155,151,"3855: ([673],[578])","3777: ([672],[578])","3572: ([673],[579])","3570: ([672],[579])","155: ([217],[57])","93: ([891],[1053])","83: ([295],[1589])","80: ([562],[1240])"
20221022_133902,3817,3902,154,151,"3817: ([673],[578])","3758: ([672],[578])","3581: ([673],[579])","3551: ([672],[579])","154: ([217],[57])","89: ([891],[1053])","85: ([295],[1589])","79: ([562],[1240])"
